Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2019 0:00,"248,689.13","248,689.13","248,689.13",624204,64.80
1/2/2019 0:00,"345,769.52","345,769.52","345,769.52",624364,64.70
1/3/2019 0:00,"360,468.26","360,468.26","360,468.26",622138,65.10
1/4/2019 0:00,"381,245.72","381,245.72","381,245.72",622161,64.90
1/5/2019 0:00,"284,292.71","284,292.71","284,292.71",624204,63.10
1/6/2019 0:00,"242,718.88","242,718.88","242,718.88",624204,65.20
1/7/2019 0:00,"362,356.40","362,356.40","362,356.40",624144,64.40
1/8/2019 0:00,"404,426.86","404,426.86","404,426.86",624084,65.30
1/9/2019 0:00,"368,213.36","368,213.36","368,213.36",624264,65.20
1/10/2019 0:00,"388,329.93","388,329.93","388,329.93",622160,65.30
1/11/2019 0:00,"394,299.06","394,299.06","394,299.06",624324,64.10
1/12/2019 0:00,"318,815.16","318,815.16","318,815.16",624204,64.20
1/13/2019 0:00,"257,352.21","257,352.21","257,352.21",624144,62.70
1/14/2019 0:00,"373,056.57","373,056.57","373,056.57",624204,64.00
1/15/2019 0:00,"420,687.89","420,687.89","420,687.89",624264,62.50
1/16/2019 0:00,"378,603.19","378,603.19","378,603.19",624204,64.50
1/17/2019 0:00,"378,250.56","378,250.56","378,250.56",624264,64.50
1/18/2019 0:00,"409,915.23","409,915.23","409,915.23",623964,64.80
1/19/2019 0:00,"330,310.59","330,310.59","330,310.59",624384,65.30
1/20/2019 0:00,"252,912.51","252,912.51","252,912.51",624384,63.70
1/21/2019 0:00,"331,505.63","331,505.63","331,505.63",622221,64.80
1/22/2019 0:00,"423,025.92","423,025.92","423,025.92",623518,64.10
1/23/2019 0:00,"399,267.94","399,267.94","399,267.94",624324,63.60
1/24/2019 0:00,"407,163.83","407,163.83","407,163.83",624204,63.50
1/25/2019 0:00,"412,642.79","412,642.79","412,642.79",624204,64.60
1/26/2019 0:00,"337,200.66","337,200.66","337,200.66",624264,65.10
1/27/2019 0:00,"288,731.45","288,731.45","288,731.45",624264,64.70
1/28/2019 0:00,"376,117.66","376,117.66","376,117.66",624264,64.80
1/29/2019 0:00,"388,365.26","388,365.26","388,365.26",624324,62.10
1/30/2019 0:00,"384,908.97","384,908.97","384,908.97",623579,65.40
1/31/2019 0:00,"402,073.10","402,073.10","402,073.10",624144,65.60
2/1/2019 0:00,"411,914.54","411,914.54","411,914.54",624324,65.40
2/2/2019 0:00,"312,587.59","312,587.59","312,587.59",624324,65.30
2/3/2019 0:00,"256,763.64","256,763.64","256,763.64",624324,65.40
2/4/2019 0:00,"373,323.54","373,323.54","373,323.54",624204,65.40
2/5/2019 0:00,"381,654.33","381,654.33","381,654.33",624264,65.00
2/6/2019 0:00,"389,886.24","389,886.24","389,886.24",623851,65.30
2/7/2019 0:00,"395,613.91","395,613.91","395,613.91",622986,64.70
2/8/2019 0:00,"403,650.94","403,650.94","403,650.94",624324,64.50
2/9/2019 0:00,"326,648.72","326,648.72","326,648.72",624264,64.70
2/10/2019 0:00,"279,866.98","279,866.98","279,866.98",624264,64.90
2/11/2019 0:00,"373,126.02","373,126.02","373,126.02",624204,64.90
2/12/2019 0:00,"376,306.71","376,306.71","376,306.71",624204,63.10
2/13/2019 0:00,"381,118.03","381,118.03","381,118.03",622767,63.20
2/14/2019 0:00,"393,168.70","393,168.70","393,168.70",624324,64.70
2/15/2019 0:00,"393,906.46","393,906.46","393,906.46",624384,64.70
2/16/2019 0:00,"320,002.27","320,002.27","320,002.27",624324,65.70
2/17/2019 0:00,"287,972.92","287,972.92","287,972.92",624379,65.70
2/18/2019 0:00,"309,247.13","309,247.13","309,247.13",624324,65.00
2/19/2019 0:00,"406,211.60","406,211.60","406,211.60",624384,65.50
2/20/2019 0:00,"398,687.15","398,687.15","398,687.15",624384,62.00
2/21/2019 0:00,"408,597.34","408,597.34","408,597.34",624204,66.00
2/22/2019 0:00,"399,035.06","399,035.06","399,035.06",624144,67.10
2/23/2019 0:00,"346,717.16","346,717.16","346,717.16",624204,66.80
2/24/2019 0:00,"290,836.26","290,836.26","290,836.26",624264,66.80
2/25/2019 0:00,"372,455.25","372,455.25","372,455.25",624264,66.60
2/26/2019 0:00,"375,117.28","375,117.28","375,117.28",624264,66.00
2/27/2019 0:00,"393,375.39","393,375.39","393,375.39",624204,66.10
2/28/2019 0:00,"393,906.01","393,906.01","393,906.01",624204,65.50
3/1/2019 0:00,"398,503.49","398,503.49","398,503.49",624144,66.10
3/2/2019 0:00,"322,273.35","322,273.35","322,273.35",624084,66.10
3/3/2019 0:00,"286,895.04","286,895.04","286,895.04",624204,65.90
3/4/2019 0:00,"383,438.40","383,438.40","383,438.40",624264,66.10
3/5/2019 0:00,"388,248.65","388,248.65","388,248.65",624264,64.30
3/6/2019 0:00,"384,662.23","384,662.23","384,662.23",624084,66.70
3/7/2019 0:00,"403,313.41","403,313.41","403,313.41",624324,66.70
3/8/2019 0:00,"416,524.60","416,524.60","416,524.60",624324,66.90
3/9/2019 0:00,"323,839.79","323,839.79","323,839.79",624324,66.80
3/10/2019 0:00,"286,375.91","286,375.91","286,375.91",598128,65.80
3/11/2019 0:00,"380,731.69","380,731.69","380,731.69",624384,65.70
3/12/2019 0:00,"382,576.87","382,576.87","382,576.87",624144,64.70
3/13/2019 0:00,"390,145.41","390,145.41","390,145.41",623664,65.10
3/14/2019 0:00,"385,206.10","385,206.10","385,206.10",624079,66.80
3/15/2019 0:00,"418,653.97","418,653.97","418,653.97",622830,66.80
3/16/2019 0:00,"367,187.23","367,187.23","367,187.23",624324,66.90
3/17/2019 0:00,"308,731.58","308,731.58","308,731.58",624324,66.90
3/18/2019 0:00,"398,794.50","398,794.50","398,794.50",624204,66.20
3/19/2019 0:00,"380,164.57","380,164.57","380,164.57",624084,66.20
3/20/2019 0:00,"401,915.01","401,915.01","401,915.01",624047,66.50
3/21/2019 0:00,"416,679.34","416,679.34","416,679.34",624264,67.00
3/22/2019 0:00,"438,244.81","438,244.81","438,244.81",624264,67.50
3/23/2019 0:00,"356,844.40","356,844.40","356,844.40",624204,65.50
