Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2020 0:00,"21,100,853.56","21,100,853.56","21,100,853.56",614880,0.00
1/2/2020 0:00,"21,269,127.49","21,269,127.49","21,269,127.49",614880,24.90
1/3/2020 0:00,"21,226,210.02","21,226,210.02","21,226,210.02",614880,56.40
1/4/2020 0:00,"19,521,007.79","19,521,007.79","19,521,007.79",614880,56.10
1/5/2020 0:00,"17,395,342.53","17,395,342.53","17,395,342.53",614880,54.80
1/6/2020 0:00,"20,467,675.30","20,467,675.30","20,467,675.30",614880,55.90
1/7/2020 0:00,"19,987,435.95","19,987,435.95","19,987,435.95",614880,55.90
1/8/2020 0:00,"21,018,936.68","21,018,936.68","21,018,936.68",614880,56.10
1/9/2020 0:00,"21,063,360.73","21,063,360.73","21,063,360.73",614880,56.00
1/10/2020 0:00,"22,080,408.48","22,080,408.48","22,080,408.48",614880,56.70
1/11/2020 0:00,"20,265,520.39","20,265,520.39","20,265,520.39",614880,57.10
1/12/2020 0:00,"17,796,106.17","17,796,106.17","17,796,106.17",614880,56.90
1/13/2020 0:00,"20,709,092.64","20,709,092.64","20,709,092.64",614880,56.90
1/14/2020 0:00,"21,094,328.53","21,094,328.53","21,094,328.53",614880,57.30
1/15/2020 0:00,"21,396,920.16","21,396,920.16","21,396,920.16",614880,57.30
1/16/2020 0:00,"20,536,100.30","20,536,100.30","20,536,100.30",614880,57.30
1/17/2020 0:00,"22,140,921.88","22,140,921.88","22,140,921.88",614880,57.20
1/18/2020 0:00,"20,582,476.75","20,582,476.75","20,582,476.75",614880,57.90
1/19/2020 0:00,"18,112,145.43","18,112,145.43","18,112,145.43",614880,57.60
1/20/2020 0:00,"20,318,855.57","20,318,855.57","20,318,855.57",614880,57.70
1/21/2020 0:00,"20,824,387.43","20,824,387.43","20,824,387.43",614880,57.50
1/22/2020 0:00,"21,287,796.34","21,287,796.34","21,287,796.34",614880,56.00
1/23/2020 0:00,"21,589,061.00","21,589,061.00","21,589,061.00",614880,57.60
1/24/2020 0:00,"21,931,594.17","21,931,594.17","21,931,594.17",614846,57.60
1/25/2020 0:00,"20,550,007.28","20,550,007.28","20,550,007.28",614880,54.90
1/26/2020 0:00,"17,955,750.80","17,955,750.80","17,955,750.80",614880,57.30
1/27/2020 0:00,"20,775,662.23","20,775,662.23","20,775,662.23",614880,56.60
1/28/2020 0:00,"20,797,093.01","20,797,093.01","20,797,093.01",614880,57.10
1/29/2020 0:00,"21,267,589.75","21,267,589.75","21,267,589.75",614880,57.20
1/30/2020 0:00,"21,472,573.44","21,472,573.44","21,472,573.44",614880,57.40
1/31/2020 0:00,"22,264,467.37","22,264,467.37","22,264,467.37",614880,57.50
2/1/2020 0:00,"20,601,841.22","20,601,841.22","20,601,841.22",614880,57.70
2/2/2020 0:00,"17,253,945.04","17,253,945.04","17,253,945.04",614880,57.60
2/3/2020 0:00,"20,538,358.14","20,538,358.14","20,538,358.14",614880,57.10
2/4/2020 0:00,"20,918,999.25","20,918,999.25","20,918,999.25",614880,57.10
2/5/2020 0:00,"21,238,068.35","21,238,068.35","21,238,068.35",614880,57.10
2/6/2020 0:00,"21,615,305.89","21,615,305.89","21,615,305.89",614880,57.40
2/7/2020 0:00,"22,292,309.71","22,292,309.71","22,292,309.71",614880,56.60
2/8/2020 0:00,"20,845,929.59","20,845,929.59","20,845,929.59",614880,56.10
2/9/2020 0:00,"17,005,058.71","17,005,058.71","17,005,058.71",614880,56.10
