Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2020 0:00,"61,962.92","61,962.92","61,962.92",76608,0.00
1/2/2020 0:00,"61,056.25","61,056.25","61,056.25",76608,31.10
1/3/2020 0:00,"55,642.26","55,642.26","55,642.26",76608,70.70
1/4/2020 0:00,"53,719.98","53,719.98","53,719.98",76608,69.90
1/5/2020 0:00,"50,863.40","50,863.40","50,863.40",76608,70.30
1/6/2020 0:00,"58,385.31","58,385.31","58,385.31",76608,71.10
1/7/2020 0:00,"60,447.37","60,447.37","60,447.37",76608,70.30
1/8/2020 0:00,"63,928.52","63,928.52","63,928.52",76608,71.30
1/9/2020 0:00,"63,970.78","63,970.78","63,970.78",76608,70.70
1/10/2020 0:00,"65,329.55","65,329.55","65,329.55",76608,70.60
1/11/2020 0:00,"58,745.68","58,745.68","58,745.68",76608,70.30
1/12/2020 0:00,"57,020.92","57,020.92","57,020.92",76608,71.10
1/13/2020 0:00,"63,746.27","63,746.27","63,746.27",76608,71.30
1/14/2020 0:00,"68,038.79","68,038.79","68,038.79",76608,71.40
1/15/2020 0:00,"70,434.45","70,434.45","70,434.45",76608,70.60
1/16/2020 0:00,"70,389.07","70,389.07","70,389.07",76608,71.40
1/17/2020 0:00,"70,210.17","70,210.17","70,210.17",76608,72.10
1/18/2020 0:00,"65,092.09","65,092.09","65,092.09",76608,70.70
1/19/2020 0:00,"52,688.76","52,688.76","52,688.76",76608,71.40
1/20/2020 0:00,"51,219.38","51,219.38","51,219.38",76608,72.20
1/21/2020 0:00,"67,494.72","67,494.72","67,494.72",76608,69.20
1/22/2020 0:00,"67,978.21","67,978.21","67,978.21",76608,69.80
1/23/2020 0:00,"64,984.54","64,984.54","64,984.54",76608,70.30
1/24/2020 0:00,"65,154.97","65,154.97","65,154.97",76608,71.00
1/25/2020 0:00,"61,244.24","61,244.24","61,244.24",76608,67.80
1/26/2020 0:00,"54,007.71","54,007.71","54,007.71",76608,69.10
1/27/2020 0:00,"58,746.65","58,746.65","58,746.65",76608,68.80
1/28/2020 0:00,"60,625.90","60,625.90","60,625.90",76608,68.40
1/29/2020 0:00,"59,633.37","59,633.37","59,633.37",76608,69.50
1/30/2020 0:00,"63,776.39","63,776.39","63,776.39",76608,69.20
1/31/2020 0:00,"64,523.63","64,523.63","64,523.63",76608,68.40
2/1/2020 0:00,"63,015.12","63,015.12","63,015.12",76608,68.00
2/2/2020 0:00,"53,025.53","53,025.53","53,025.53",76608,67.70
2/3/2020 0:00,"58,483.26","58,483.26","58,483.26",76608,68.00
2/4/2020 0:00,"62,430.89","62,430.89","62,430.89",76608,68.40
2/5/2020 0:00,"63,716.70","63,716.70","63,716.70",76608,66.90
2/6/2020 0:00,"65,829.83","65,829.83","65,829.83",76608,69.90
2/7/2020 0:00,"64,352.02","64,352.02","64,352.02",76608,69.50
2/8/2020 0:00,"64,187.69","64,187.69","64,187.69",76608,69.20
2/9/2020 0:00,"56,729.96","56,729.96","56,729.96",76608,70.70
2/10/2020 0:00,"56,348.19","56,348.19","56,348.19",74198,69.20
2/11/2020 0:00,"61,015.78","61,015.78","61,015.78",75388,69.10
2/12/2020 0:00,"63,602.04","63,602.04","63,602.04",76608,70.30
2/13/2020 0:00,"68,046.23","68,046.23","68,046.23",76608,70.40
2/14/2020 0:00,"69,597.27","69,597.27","69,597.27",76608,71.80
2/15/2020 0:00,"63,059.28","63,059.28","63,059.28",76608,70.30
2/16/2020 0:00,"56,125.40","56,125.40","56,125.40",76608,70.30
2/17/2020 0:00,"54,240.33","54,240.33","54,240.33",76608,71.80
2/18/2020 0:00,"62,590.68","62,590.68","62,590.68",76608,72.70
2/19/2020 0:00,"62,411.30","62,411.30","62,411.30",76608,65.50
2/20/2020 0:00,"62,967.56","62,967.56","62,967.56",76608,71.80
2/21/2020 0:00,"61,740.27","61,740.27","61,740.27",76608,70.40
2/22/2020 0:00,"62,666.50","62,666.50","62,666.50",76608,68.90
2/23/2020 0:00,"54,699.43","54,699.43","54,699.43",76608,71.80
2/24/2020 0:00,"61,071.34","61,071.34","61,071.34",76608,69.10
2/25/2020 0:00,"62,676.74","62,676.74","62,676.74",76608,67.30
2/26/2020 0:00,"65,756.81","65,756.81","65,756.81",76608,60.50
2/27/2020 0:00,"65,220.61","65,220.61","65,220.61",76608,69.10
2/28/2020 0:00,"65,346.64","65,346.64","65,346.64",76608,64.70
2/29/2020 0:00,"61,403.09","61,403.09","61,403.09",76608,67.10
3/1/2020 0:00,"51,099.11","51,099.11","51,099.11",76608,69.50
3/2/2020 0:00,"61,770.68","61,770.68","61,770.68",76608,70.70
3/3/2020 0:00,"62,902.41","62,902.41","62,902.41",76608,69.80
3/4/2020 0:00,"61,556.76","61,556.76","61,556.76",76608,68.00
3/5/2020 0:00,"57,471.84","57,471.84","57,471.84",76608,67.70
3/6/2020 0:00,"61,061.42","61,061.42","61,061.42",76608,66.90
3/7/2020 0:00,"51,852.87","51,852.87","51,852.87",76608,69.90
3/8/2020 0:00,"47,382.74","47,382.74","47,382.74",73416,69.90
3/9/2020 0:00,"58,739.13","58,739.13","58,739.13",76608,69.20
3/10/2020 0:00,"54,399.72","54,399.72","54,399.72",76608,69.10
3/11/2020 0:00,"56,399.17","56,399.17","56,399.17",76608,69.50
3/12/2020 0:00,"52,038.55","52,038.55","52,038.55",76608,69.20
3/13/2020 0:00,"51,302.04","51,302.04","51,302.04",76608,68.00
3/14/2020 0:00,"41,707.28","41,707.28","41,707.28",76608,69.50
3/15/2020 0:00,"33,896.99","33,896.99","33,896.99",76608,70.30
3/16/2020 0:00,"48,382.18","48,382.18","48,382.18",76608,69.70
3/17/2020 0:00,"32,005.26","32,005.26","32,005.26",76608,66.90
3/18/2020 0:00,"32,477.64","32,477.64","32,477.64",76608,65.70
3/19/2020 0:00,"29,687.93","29,687.93","29,687.93",76608,65.50
3/20/2020 0:00,"32,492.60","32,492.60","32,492.60",76608,56.60
3/21/2020 0:00,"29,321.53","29,321.53","29,321.53",76608,47.40
3/22/2020 0:00,"22,860.19","22,860.19","22,860.19",76608,47.40
3/23/2020 0:00,"31,618.45","31,618.45","31,618.45",76608,47.00
3/24/2020 0:00,"28,923.12","28,923.12","28,923.12",76608,67.60
3/25/2020 0:00,"31,711.25","31,711.25","31,711.25",76608,63.40
3/26/2020 0:00,"30,232.60","30,232.60","30,232.60",76608,67.30
3/27/2020 0:00,"31,648.20","31,648.20","31,648.20",76608,67.30
3/28/2020 0:00,"23,433.15","23,433.15","23,433.15",76608,67.60
3/29/2020 0:00,"20,893.83","20,893.83","20,893.83",76608,66.10
3/30/2020 0:00,"30,495.68","30,495.68","30,495.68",76608,65.00
3/31/2020 0:00,"29,765.71","29,765.71","29,765.71",76608,66.50
4/1/2020 0:00,"30,743.49","30,743.49","30,743.49",76608,66.50
4/2/2020 0:00,"30,438.68","30,438.68","30,438.68",76608,66.90
4/3/2020 0:00,"32,077.40","32,077.40","32,077.40",76608,67.30
4/4/2020 0:00,"23,979.24","23,979.24","23,979.24",76608,66.90
4/5/2020 0:00,"20,818.24","20,818.24","20,818.24",76608,66.90
4/6/2020 0:00,"30,211.02","30,211.02","30,211.02",76608,65.70
4/7/2020 0:00,"29,174.72","29,174.72","29,174.72",76608,67.80
4/8/2020 0:00,"30,797.16","30,797.16","30,797.16",76608,67.70
4/9/2020 0:00,"30,496.69","30,496.69","30,496.69",76608,67.20
4/10/2020 0:00,"30,355.72","30,355.72","30,355.72",76608,67.10
4/11/2020 0:00,"24,877.64","24,877.64","24,877.64",76608,62.40
4/12/2020 0:00,"21,351.05","21,351.05","21,351.05",76608,66.50
4/13/2020 0:00,"29,917.42","29,917.42","29,917.42",76608,62.70
4/14/2020 0:00,"30,036.18","30,036.18","30,036.18",76608,63.80
4/15/2020 0:00,"32,131.01","32,131.01","32,131.01",76588,65.30
4/16/2020 0:00,"30,766.90","30,766.90","30,766.90",76523,64.70
4/17/2020 0:00,"32,725.52","32,725.52","32,725.52",76608,67.60
4/18/2020 0:00,"26,822.01","26,822.01","26,822.01",76608,69.10
4/19/2020 0:00,"23,524.87","23,524.87","23,524.87",76608,68.80
4/20/2020 0:00,"30,732.31","30,732.31","30,732.31",76608,68.40
4/21/2020 0:00,"31,602.17","31,602.17","31,602.17",76608,68.30
4/22/2020 0:00,"32,932.65","32,932.65","32,932.65",76608,68.20
4/23/2020 0:00,"32,793.03","32,793.03","32,793.03",76543,61.30
4/24/2020 0:00,"35,614.49","35,614.49","35,614.49",76608,64.80
4/25/2020 0:00,"29,822.17","29,822.17","29,822.17",76608,52.30
4/26/2020 0:00,"25,910.74","25,910.74","25,910.74",76608,63.10
4/27/2020 0:00,"33,213.96","33,213.96","33,213.96",76608,62.80
4/28/2020 0:00,"33,480.68","33,480.68","33,480.68",76608,62.80
4/29/2020 0:00,"35,331.06","35,331.06","35,331.06",76608,63.50
4/30/2020 0:00,"34,215.93","34,215.93","34,215.93",76588,62.10
5/1/2020 0:00,"37,441.27","37,441.27","37,441.27",76548,63.90
5/2/2020 0:00,"29,738.05","29,738.05","29,738.05",76608,64.60
5/3/2020 0:00,"27,099.52","27,099.52","27,099.52",76608,68.80
5/4/2020 0:00,"34,995.22","34,995.22","34,995.22",76608,64.70
5/5/2020 0:00,"35,800.87","35,800.87","35,800.87",76608,69.10
5/6/2020 0:00,"35,700.09","35,700.09","35,700.09",76608,69.30
5/7/2020 0:00,"38,188.33","38,188.33","38,188.33",76608,66.50
5/8/2020 0:00,"41,437.75","41,437.75","41,437.75",76608,68.00
5/9/2020 0:00,"34,713.15","34,713.15","34,713.15",76608,68.40
5/10/2020 0:00,"32,184.02","32,184.02","32,184.02",76608,69.50
5/11/2020 0:00,"34,640.16","34,640.16","34,640.16",76608,67.20
5/12/2020 0:00,"36,683.13","36,683.13","36,683.13",76608,70.60
5/13/2020 0:00,"40,587.29","40,587.29","40,587.29",76608,67.80
5/14/2020 0:00,"39,885.82","39,885.82","39,885.82",76608,66.90
5/15/2020 0:00,"40,648.14","40,648.14","40,648.14",76608,69.10
5/16/2020 0:00,"33,278.68","33,278.68","33,278.68",76608,69.10
5/17/2020 0:00,"28,915.53","28,915.53","28,915.53",76608,68.40
5/18/2020 0:00,"37,837.98","37,837.98","37,837.98",76608,68.40
5/19/2020 0:00,"40,397.65","40,397.65","40,397.65",76608,69.10
5/20/2020 0:00,"43,284.91","43,284.91","43,284.91",76608,69.30
5/21/2020 0:00,"42,153.08","42,153.08","42,153.08",76608,68.40
5/22/2020 0:00,"44,395.91","44,395.91","44,395.91",76608,67.70
5/23/2020 0:00,"36,804.29","36,804.29","36,804.29",76608,66.40
5/24/2020 0:00,"35,235.12","35,235.12","35,235.12",76608,67.30
5/25/2020 0:00,"34,027.70","34,027.70","34,027.70",76608,66.90
5/26/2020 0:00,"40,625.96","40,625.96","40,625.96",76608,65.00
