Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2020 0:00,"3,372,506.53","3,372,506.53","3,372,506.53",76608,0.00
1/2/2020 0:00,"3,354,315.35","3,354,315.35","3,354,315.35",76608,31.10
1/3/2020 0:00,"3,372,226.14","3,372,226.14","3,372,226.14",76608,70.70
1/4/2020 0:00,"3,231,917.58","3,231,917.58","3,231,917.58",76608,69.90
1/5/2020 0:00,"3,004,714.12","3,004,714.12","3,004,714.12",76608,70.30
1/6/2020 0:00,"3,301,545.73","3,301,545.73","3,301,545.73",76608,71.10
1/7/2020 0:00,"3,306,440.94","3,306,440.94","3,306,440.94",76608,70.30
1/8/2020 0:00,"3,399,907.42","3,399,907.42","3,399,907.42",76608,71.30
1/9/2020 0:00,"3,408,753.53","3,408,753.53","3,408,753.53",76608,70.70
1/10/2020 0:00,"3,525,984.84","3,525,984.84","3,525,984.84",76608,70.60
1/11/2020 0:00,"3,413,720.23","3,413,720.23","3,413,720.23",76608,70.30
1/12/2020 0:00,"3,168,164.54","3,168,164.54","3,168,164.54",76608,71.10
1/13/2020 0:00,"3,358,045.48","3,358,045.48","3,358,045.48",76608,71.30
1/14/2020 0:00,"3,461,998.75","3,461,998.75","3,461,998.75",76608,71.40
1/15/2020 0:00,"3,460,422.00","3,460,422.00","3,460,422.00",76608,70.60
1/16/2020 0:00,"3,327,242.34","3,327,242.34","3,327,242.34",76608,71.40
1/17/2020 0:00,"3,520,138.72","3,520,138.72","3,520,138.72",76608,72.10
1/18/2020 0:00,"3,400,325.47","3,400,325.47","3,400,325.47",76608,70.70
1/19/2020 0:00,"3,133,129.58","3,133,129.58","3,133,129.58",76608,71.40
1/20/2020 0:00,"3,037,286.21","3,037,286.21","3,037,286.21",76608,72.20
1/21/2020 0:00,"3,349,193.00","3,349,193.00","3,349,193.00",76608,69.20
1/22/2020 0:00,"3,486,424.08","3,486,424.08","3,486,424.08",76608,69.80
1/23/2020 0:00,"3,517,312.90","3,517,312.90","3,517,312.90",76608,70.30
1/24/2020 0:00,"3,556,365.17","3,556,365.17","3,556,365.17",76608,71.00
1/25/2020 0:00,"3,340,708.69","3,340,708.69","3,340,708.69",76608,67.80
1/26/2020 0:00,"3,050,279.74","3,050,279.74","3,050,279.74",76608,69.10
1/27/2020 0:00,"3,334,886.69","3,334,886.69","3,334,886.69",76608,68.80
1/28/2020 0:00,"3,311,062.24","3,311,062.24","3,311,062.24",76608,68.40
1/29/2020 0:00,"3,385,237.32","3,385,237.32","3,385,237.32",76608,69.50
1/30/2020 0:00,"3,497,667.20","3,497,667.20","3,497,667.20",76608,69.20
1/31/2020 0:00,"3,537,837.38","3,537,837.38","3,537,837.38",76608,68.40
2/1/2020 0:00,"3,358,040.34","3,358,040.34","3,358,040.34",76608,68.00
2/2/2020 0:00,"2,921,361.53","2,921,361.53","2,921,361.53",76608,67.70
2/3/2020 0:00,"3,274,806.49","3,274,806.49","3,274,806.49",76608,68.00
2/4/2020 0:00,"3,336,137.73","3,336,137.73","3,336,137.73",76608,68.40
2/5/2020 0:00,"3,434,914.68","3,434,914.68","3,434,914.68",76608,66.90
2/6/2020 0:00,"3,491,381.90","3,491,381.90","3,491,381.90",76608,69.90
2/7/2020 0:00,"3,546,781.12","3,546,781.12","3,546,781.12",76608,69.50
2/8/2020 0:00,"3,407,995.84","3,407,995.84","3,407,995.84",76608,69.20
2/9/2020 0:00,"3,064,399.49","3,064,399.49","3,064,399.49",76608,70.70
2/10/2020 0:00,"3,077,907.40","3,077,907.40","3,077,907.40",74198,69.20
2/11/2020 0:00,"3,346,790.01","3,346,790.01","3,346,790.01",75388,69.10
2/12/2020 0:00,"3,402,821.76","3,402,821.76","3,402,821.76",76608,70.30
2/13/2020 0:00,"3,521,571.48","3,521,571.48","3,521,571.48",76608,70.40
2/14/2020 0:00,"3,627,791.00","3,627,791.00","3,627,791.00",76608,71.80
2/15/2020 0:00,"3,398,277.85","3,398,277.85","3,398,277.85",76608,70.30
2/16/2020 0:00,"3,089,393.76","3,089,393.76","3,089,393.76",76608,70.30
2/17/2020 0:00,"3,153,431.69","3,153,431.69","3,153,431.69",76608,71.80
