Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2019 0:00,"97,046.11","97,046.11","97,046.11",247680,78.80
1/2/2019 0:00,"139,931.22","139,931.22","139,931.22",247674,78.40
1/3/2019 0:00,"145,839.83","145,839.83","145,839.83",246869,78.90
1/4/2019 0:00,"151,861.07","151,861.07","151,861.07",246820,77.60
1/5/2019 0:00,"115,602.71","115,602.71","115,602.71",247680,75.90
1/6/2019 0:00,"104,300.39","104,300.39","104,300.39",247680,77.90
1/7/2019 0:00,"167,652.33","167,652.33","167,652.33",247680,77.80
1/8/2019 0:00,"180,534.72","180,534.72","180,534.72",247680,77.90
1/9/2019 0:00,"166,725.46","166,725.46","166,725.46",247680,79.10
1/10/2019 0:00,"175,954.98","175,954.98","175,954.98",247161,80.10
1/11/2019 0:00,"172,012.72","172,012.72","172,012.72",247680,77.80
1/12/2019 0:00,"133,547.36","133,547.36","133,547.36",247680,77.20
1/13/2019 0:00,"106,713.71","106,713.71","106,713.71",247680,75.10
1/14/2019 0:00,"169,053.79","169,053.79","169,053.79",247680,76.70
1/15/2019 0:00,"192,814.15","192,814.15","192,814.15",247680,75.00
1/16/2019 0:00,"175,611.83","175,611.83","175,611.83",247680,77.10
1/17/2019 0:00,"174,266.16","174,266.16","174,266.16",247680,76.60
1/18/2019 0:00,"181,747.52","181,747.52","181,747.52",247680,76.50
1/19/2019 0:00,"132,276.38","132,276.38","132,276.38",247680,76.90
1/20/2019 0:00,"100,512.42","100,512.42","100,512.42",247680,75.50
1/21/2019 0:00,"125,244.86","125,244.86","125,244.86",246820,77.10
1/22/2019 0:00,"185,944.46","185,944.46","185,944.46",247608,74.50
1/23/2019 0:00,"184,450.80","184,450.80","184,450.80",247680,75.20
1/24/2019 0:00,"180,738.56","180,738.56","180,738.56",247680,74.20
1/25/2019 0:00,"177,114.50","177,114.50","177,114.50",247680,76.10
1/26/2019 0:00,"129,845.44","129,845.44","129,845.44",247680,76.50
1/27/2019 0:00,"114,436.66","114,436.66","114,436.66",247680,76.50
1/28/2019 0:00,"160,938.55","160,938.55","160,938.55",247680,76.50
1/29/2019 0:00,"170,130.44","170,130.44","170,130.44",247680,74.20
1/30/2019 0:00,"170,210.52","170,210.52","170,210.52",247478,78.30
1/31/2019 0:00,"176,504.94","176,504.94","176,504.94",247680,80.00
2/1/2019 0:00,"167,685.26","167,685.26","167,685.26",247680,80.10
2/2/2019 0:00,"129,186.48","129,186.48","129,186.48",247680,78.60
2/3/2019 0:00,"106,555.49","106,555.49","106,555.49",247680,78.70
