Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2019 0:00,"6,458,098.82","6,458,098.82","6,458,098.82",247680,78.80
1/2/2019 0:00,"8,850,110.74","8,850,110.74","8,850,110.74",247674,78.40
1/3/2019 0:00,"9,116,332.95","9,116,332.95","9,116,332.95",246869,78.90
1/4/2019 0:00,"9,434,127.04","9,434,127.04","9,434,127.04",246820,77.60
1/5/2019 0:00,"7,332,879.76","7,332,879.76","7,332,879.76",247680,75.90
1/6/2019 0:00,"6,142,405.62","6,142,405.62","6,142,405.62",247680,77.90
1/7/2019 0:00,"9,654,170.50","9,654,170.50","9,654,170.50",247680,77.80
1/8/2019 0:00,"9,674,203.71","9,674,203.71","9,674,203.71",247680,77.90
1/9/2019 0:00,"9,257,237.11","9,257,237.11","9,257,237.11",247680,79.10
1/10/2019 0:00,"9,803,551.05","9,803,551.05","9,803,551.05",247161,80.10
1/11/2019 0:00,"9,484,253.87","9,484,253.87","9,484,253.87",247680,77.80
1/12/2019 0:00,"8,480,585.56","8,480,585.56","8,480,585.56",247680,77.20
1/13/2019 0:00,"7,008,112.32","7,008,112.32","7,008,112.32",247680,75.10
1/14/2019 0:00,"9,454,994.13","9,454,994.13","9,454,994.13",247680,76.70
1/15/2019 0:00,"9,168,985.10","9,168,985.10","9,168,985.10",247680,75.00
1/16/2019 0:00,"9,024,241.38","9,024,241.38","9,024,241.38",247680,77.10
1/17/2019 0:00,"9,489,898.36","9,489,898.36","9,489,898.36",247680,76.60
1/18/2019 0:00,"10,159,593.51","10,159,593.51","10,159,593.51",247680,76.50
1/19/2019 0:00,"8,448,731.55","8,448,731.55","8,448,731.55",247680,76.90
1/20/2019 0:00,"6,400,922.24","6,400,922.24","6,400,922.24",247680,75.50
1/21/2019 0:00,"7,958,893.06","7,958,893.06","7,958,893.06",246820,77.10
1/22/2019 0:00,"9,898,801.57","9,898,801.57","9,898,801.57",247608,74.50
1/23/2019 0:00,"9,943,449.05","9,943,449.05","9,943,449.05",247680,75.20
1/24/2019 0:00,"9,894,133.07","9,894,133.07","9,894,133.07",247680,74.20
1/25/2019 0:00,"9,956,852.14","9,956,852.14","9,956,852.14",247680,76.10
1/26/2019 0:00,"8,363,720.68","8,363,720.68","8,363,720.68",247680,76.50
1/27/2019 0:00,"7,483,802.12","7,483,802.12","7,483,802.12",247680,76.50
1/28/2019 0:00,"9,479,282.12","9,479,282.12","9,479,282.12",247680,76.50
1/29/2019 0:00,"9,672,113.28","9,672,113.28","9,672,113.28",247680,74.20
1/30/2019 0:00,"9,846,414.50","9,846,414.50","9,846,414.50",247478,78.30
1/31/2019 0:00,"9,882,253.44","9,882,253.44","9,882,253.44",247680,80.00
2/1/2019 0:00,"9,598,356.59","9,598,356.59","9,598,356.59",247680,80.10
2/2/2019 0:00,"7,949,019.63","7,949,019.63","7,949,019.63",247680,78.60
2/3/2019 0:00,"6,803,972.86","6,803,972.86","6,803,972.86",247680,78.70
2/4/2019 0:00,"9,390,368.27","9,390,368.27","9,390,368.27",247680,78.60
2/5/2019 0:00,"9,797,328.91","9,797,328.91","9,797,328.91",247680,78.60
2/6/2019 0:00,"10,104,008.40","10,104,008.40","10,104,008.40",247601,78.70
2/7/2019 0:00,"10,207,620.90","10,207,620.90","10,207,620.90",247241,79.20
2/8/2019 0:00,"9,944,254.11","9,944,254.11","9,944,254.11",247680,79.10
2/9/2019 0:00,"8,514,713.33","8,514,713.33","8,514,713.33",247680,79.00
2/10/2019 0:00,"7,648,775.59","7,648,775.59","7,648,775.59",247680,79.00
2/11/2019 0:00,"9,965,068.37","9,965,068.37","9,965,068.37",247680,79.00
2/12/2019 0:00,"10,179,269.22","10,179,269.22","10,179,269.22",247680,77.10
2/13/2019 0:00,"9,433,978.60","9,433,978.60","9,433,978.60",247159,77.30
2/14/2019 0:00,"9,662,420.87","9,662,420.87","9,662,420.87",247680,79.40
2/15/2019 0:00,"9,992,219.73","9,992,219.73","9,992,219.73",247680,79.70
2/16/2019 0:00,"8,245,489.19","8,245,489.19","8,245,489.19",247680,79.50
2/17/2019 0:00,"7,528,354.75","7,528,354.75","7,528,354.75",247680,79.50
2/18/2019 0:00,"8,187,505.43","8,187,505.43","8,187,505.43",247680,79.40
2/19/2019 0:00,"10,029,249.71","10,029,249.71","10,029,249.71",247680,79.80
2/20/2019 0:00,"9,936,605.93","9,936,605.93","9,936,605.93",247680,75.20
2/21/2019 0:00,"10,170,819.44","10,170,819.44","10,170,819.44",247680,78.00
2/22/2019 0:00,"9,897,611.66","9,897,611.66","9,897,611.66",247680,78.10
2/23/2019 0:00,"8,778,472.32","8,778,472.32","8,778,472.32",247680,80.50
2/24/2019 0:00,"7,661,450.48","7,661,450.48","7,661,450.48",247680,80.60
2/25/2019 0:00,"9,605,927.91","9,605,927.91","9,605,927.91",247680,80.50
2/26/2019 0:00,"9,563,008.39","9,563,008.39","9,563,008.39",247680,82.30
2/27/2019 0:00,"9,646,391.36","9,646,391.36","9,646,391.36",247680,83.50
2/28/2019 0:00,"10,319,254.47","10,319,254.47","10,319,254.47",247680,84.40
3/1/2019 0:00,"10,106,446.65","10,106,446.65","10,106,446.65",247680,85.00
3/2/2019 0:00,"8,099,499.51","8,099,499.51","8,099,499.51",247680,85.20
3/3/2019 0:00,"7,412,410.53","7,412,410.53","7,412,410.53",247680,85.30
3/4/2019 0:00,"9,796,302.82","9,796,302.82","9,796,302.82",247680,85.10
3/5/2019 0:00,"9,798,937.49","9,798,937.49","9,798,937.49",247680,83.60
3/6/2019 0:00,"9,740,545.47","9,740,545.47","9,740,545.47",247680,85.90
3/7/2019 0:00,"10,378,184.38","10,378,184.38","10,378,184.38",247680,85.90
3/8/2019 0:00,"10,244,990.76","10,244,990.76","10,244,990.76",247680,85.70
3/9/2019 0:00,"8,157,793.95","8,157,793.95","8,157,793.95",247680,85.50
3/10/2019 0:00,"7,190,084.57","7,190,084.57","7,190,084.57",237360,85.10
3/11/2019 0:00,"9,593,379.09","9,593,379.09","9,593,379.09",247680,84.90
3/12/2019 0:00,"9,875,684.93","9,875,684.93","9,875,684.93",247680,81.20
3/13/2019 0:00,"10,114,569.56","10,114,569.56","10,114,569.56",247680,82.60
3/14/2019 0:00,"9,935,829.42","9,935,829.42","9,935,829.42",247680,83.70
3/15/2019 0:00,"9,946,059.02","9,946,059.02","9,946,059.02",247165,83.70
3/16/2019 0:00,"8,936,432.06","8,936,432.06","8,936,432.06",247680,83.60
3/17/2019 0:00,"7,780,276.47","7,780,276.47","7,780,276.47",247680,83.50
3/18/2019 0:00,"9,910,974.55","9,910,974.55","9,910,974.55",247680,83.50
3/19/2019 0:00,"10,058,350.08","10,058,350.08","10,058,350.08",247680,83.60
3/20/2019 0:00,"9,871,850.72","9,871,850.72","9,871,850.72",247562,84.30
3/21/2019 0:00,"10,140,261.22","10,140,261.22","10,140,261.22",247680,84.10
3/22/2019 0:00,"9,862,145.98","9,862,145.98","9,862,145.98",247680,84.20
3/23/2019 0:00,"8,701,370.55","8,701,370.55","8,701,370.55",247680,82.30
3/24/2019 0:00,"7,657,762.44","7,657,762.44","7,657,762.44",247680,84.50
3/25/2019 0:00,"9,173,748.63","9,173,748.63","9,173,748.63",247680,80.30
3/26/2019 0:00,"9,618,856.99","9,618,856.99","9,618,856.99",247680,82.20
3/27/2019 0:00,"9,478,636.10","9,478,636.10","9,478,636.10",247542,83.70
3/28/2019 0:00,"9,664,780.57","9,664,780.57","9,664,780.57",247680,81.00
3/29/2019 0:00,"9,797,769.93","9,797,769.93","9,797,769.93",247680,83.40
3/30/2019 0:00,"8,439,944.15","8,439,944.15","8,439,944.15",247680,83.10
3/31/2019 0:00,"7,553,315.17","7,553,315.17","7,553,315.17",247510,79.10
4/1/2019 0:00,"8,985,206.49","8,985,206.49","8,985,206.49",247680,82.20
4/2/2019 0:00,"9,064,719.12","9,064,719.12","9,064,719.12",247680,80.20
4/3/2019 0:00,"9,415,166.25","9,415,166.25","9,415,166.25",247680,75.80
4/4/2019 0:00,"9,841,687.80","9,841,687.80","9,841,687.80",247242,81.30
4/5/2019 0:00,"9,329,529.18","9,329,529.18","9,329,529.18",247665,83.10
4/6/2019 0:00,"8,099,249.81","8,099,249.81","8,099,249.81",247680,83.10
4/7/2019 0:00,"7,380,730.58","7,380,730.58","7,380,730.58",247680,82.10
4/8/2019 0:00,"9,121,825.46","9,121,825.46","9,121,825.46",247680,81.30
4/9/2019 0:00,"9,435,937.55","9,435,937.55","9,435,937.55",247680,81.00
4/10/2019 0:00,"9,947,032.83","9,947,032.83","9,947,032.83",247680,81.30
4/11/2019 0:00,"10,165,091.27","10,165,091.27","10,165,091.27",246383,83.30
4/12/2019 0:00,"10,481,038.93","10,481,038.93","10,481,038.93",247967,83.60
4/13/2019 0:00,"9,124,529.96","9,124,529.96","9,124,529.96",247968,84.20
4/14/2019 0:00,"7,871,756.64","7,871,756.64","7,871,756.64",247968,83.60
4/15/2019 0:00,"9,504,568.72","9,504,568.72","9,504,568.72",247968,83.70
4/16/2019 0:00,"10,047,091.21","10,047,091.21","10,047,091.21",247953,80.90
4/17/2019 0:00,"10,367,741.68","10,367,741.68","10,367,741.68",247968,82.40
4/18/2019 0:00,"10,468,147.23","10,468,147.23","10,468,147.23",247968,84.00
4/19/2019 0:00,"10,246,005.74","10,246,005.74","10,246,005.74",247872,82.60
4/20/2019 0:00,"8,719,944.93","8,719,944.93","8,719,944.93",247968,83.60
4/21/2019 0:00,"7,864,556.84","7,864,556.84","7,864,556.84",247968,81.90
4/22/2019 0:00,"9,947,440.07","9,947,440.07","9,947,440.07",247968,83.90
4/23/2019 0:00,"10,188,783.81","10,188,783.81","10,188,783.81",247968,83.90
4/24/2019 0:00,"10,223,593.10","10,223,593.10","10,223,593.10",247968,83.90
4/25/2019 0:00,"10,525,216.46","10,525,216.46","10,525,216.46",247968,82.70
4/26/2019 0:00,"10,517,493.12","10,517,493.12","10,517,493.12",247297,83.00
4/27/2019 0:00,"9,169,778.62","9,169,778.62","9,169,778.62",247968,82.90
4/28/2019 0:00,"8,188,045.54","8,188,045.54","8,188,045.54",247968,83.10
4/29/2019 0:00,"10,099,412.20","10,099,412.20","10,099,412.20",247968,82.80
4/30/2019 0:00,"10,217,774.68","10,217,774.68","10,217,774.68",247968,82.90
5/1/2019 0:00,"10,356,592.67","10,356,592.67","10,356,592.67",247968,83.10
5/2/2019 0:00,"10,560,521.97","10,560,521.97","10,560,521.97",247968,83.00
5/3/2019 0:00,"10,594,504.82","10,594,504.82","10,594,504.82",247968,82.90
5/4/2019 0:00,"9,001,618.50","9,001,618.50","9,001,618.50",247968,80.50
5/5/2019 0:00,"7,951,040.01","7,951,040.01","7,951,040.01",247968,82.60
5/6/2019 0:00,"9,929,301.42","9,929,301.42","9,929,301.42",247968,82.70
5/7/2019 0:00,"10,013,817.48","10,013,817.48","10,013,817.48",247968,66.90
5/8/2019 0:00,"10,054,144.39","10,054,144.39","10,054,144.39",247968,43.00
5/9/2019 0:00,"10,329,557.90","10,329,557.90","10,329,557.90",247968,83.40
5/10/2019 0:00,"10,522,102.78","10,522,102.78","10,522,102.78",247968,83.40
5/11/2019 0:00,"9,165,703.55","9,165,703.55","9,165,703.55",247968,83.00
5/12/2019 0:00,"8,379,082.20","8,379,082.20","8,379,082.20",247968,82.70
5/13/2019 0:00,"10,053,726.36","10,053,726.36","10,053,726.36",247968,82.40
5/14/2019 0:00,"10,212,084.55","10,212,084.55","10,212,084.55",247968,82.50
5/15/2019 0:00,"10,033,388.34","10,033,388.34","10,033,388.34",247968,82.30
