Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2019 0:00,"198,156.65","198,156.65","198,156.65",556416,68.80
1/2/2019 0:00,"299,297.65","299,297.65","299,297.65",556385,67.90
1/3/2019 0:00,"310,528.12","310,528.12","310,528.12",554639,67.90
1/4/2019 0:00,"322,956.60","322,956.60","322,956.60",554484,68.00
1/5/2019 0:00,"236,570.37","236,570.37","236,570.37",556416,66.10
1/6/2019 0:00,"208,912.38","208,912.38","208,912.38",556416,67.60
1/7/2019 0:00,"340,351.94","340,351.94","340,351.94",556416,67.10
1/8/2019 0:00,"364,172.16","364,172.16","364,172.16",556416,68.50
1/9/2019 0:00,"343,664.69","343,664.69","343,664.69",556416,68.50
1/10/2019 0:00,"353,935.49","353,935.49","353,935.49",554942,67.00
1/11/2019 0:00,"349,311.50","349,311.50","349,311.50",556416,67.10
1/12/2019 0:00,"261,957.06","261,957.06","261,957.06",556416,66.30
1/13/2019 0:00,"214,689.41","214,689.41","214,689.41",556416,66.00
1/14/2019 0:00,"344,578.80","344,578.80","344,578.80",556416,68.30
1/15/2019 0:00,"378,634.05","378,634.05","378,634.05",556416,66.90
1/16/2019 0:00,"345,550.89","345,550.89","345,550.89",556416,68.10
1/17/2019 0:00,"336,892.22","336,892.22","336,892.22",556416,69.00
1/18/2019 0:00,"361,846.69","361,846.69","361,846.69",556416,68.80
1/19/2019 0:00,"271,949.16","271,949.16","271,949.16",556416,69.50
1/20/2019 0:00,"209,482.21","209,482.21","209,482.21",556416,67.40
1/21/2019 0:00,"268,236.24","268,236.24","268,236.24",554484,68.80
1/22/2019 0:00,"372,889.61","372,889.61","372,889.61",555799,69.00
1/23/2019 0:00,"365,832.20","365,832.20","365,832.20",556416,69.40
1/24/2019 0:00,"366,603.76","366,603.76","366,603.76",556416,69.00
1/25/2019 0:00,"362,016.67","362,016.67","362,016.67",556416,69.70
1/26/2019 0:00,"263,255.25","263,255.25","263,255.25",558696,70.20
1/27/2019 0:00,"231,260.97","231,260.97","231,260.97",558720,69.40
1/28/2019 0:00,"337,380.25","337,380.25","337,380.25",558720,69.30
1/29/2019 0:00,"358,419.12","358,419.12","358,419.12",558720,65.80
1/30/2019 0:00,"362,116.11","362,116.11","362,116.11",558030,69.20
1/31/2019 0:00,"364,705.42","364,705.42","364,705.42",558720,68.50
2/1/2019 0:00,"354,877.79","354,877.79","354,877.79",558720,68.50
2/2/2019 0:00,"255,670.40","255,670.40","255,670.40",558720,68.20
2/3/2019 0:00,"211,817.32","211,817.32","211,817.32",558720,67.80
2/4/2019 0:00,"338,139.19","338,139.19","338,139.19",558720,67.50
2/5/2019 0:00,"350,018.74","350,018.74","350,018.74",558720,69.00
2/6/2019 0:00,"351,996.13","351,996.13","351,996.13",558555,69.60
2/7/2019 0:00,"361,218.91","361,218.91","361,218.91",557315,68.30
2/8/2019 0:00,"361,862.76","361,862.76","361,862.76",558720,68.00
2/9/2019 0:00,"262,717.06","262,717.06","262,717.06",558720,68.50
2/10/2019 0:00,"226,501.80","226,501.80","226,501.80",558720,68.60
2/11/2019 0:00,"342,454.43","342,454.43","342,454.43",558720,67.80
2/12/2019 0:00,"357,751.43","357,751.43","357,751.43",558720,66.60
2/13/2019 0:00,"342,686.04","342,686.04","342,686.04",557313,66.90
2/14/2019 0:00,"344,596.75","344,596.75","344,596.75",558720,68.00
2/15/2019 0:00,"347,915.31","347,915.31","347,915.31",558720,68.60
2/16/2019 0:00,"259,547.89","259,547.89","259,547.89",558720,69.00
2/17/2019 0:00,"231,911.31","231,911.31","231,911.31",558720,68.10
2/18/2019 0:00,"264,231.11","264,231.11","264,231.11",558720,67.90
2/19/2019 0:00,"340,711.53","340,711.53","340,711.53",558720,67.70
2/20/2019 0:00,"337,399.92","337,399.92","337,399.92",558720,64.70
2/21/2019 0:00,"348,960.54","348,960.54","348,960.54",558720,68.40
2/22/2019 0:00,"338,014.56","338,014.56","338,014.56",558720,69.20
2/23/2019 0:00,"271,828.12","271,828.12","271,828.12",558720,69.10
2/24/2019 0:00,"237,435.53","237,435.53","237,435.53",558720,69.40
2/25/2019 0:00,"334,411.81","334,411.81","334,411.81",558720,68.70
2/26/2019 0:00,"339,439.34","339,439.34","339,439.34",558720,69.20
2/27/2019 0:00,"351,911.51","351,911.51","351,911.51",558720,69.90
2/28/2019 0:00,"358,737.62","358,737.62","358,737.62",558720,69.60
3/1/2019 0:00,"352,547.20","352,547.20","352,547.20",558720,69.80
3/2/2019 0:00,"258,272.02","258,272.02","258,272.02",558720,69.90
3/3/2019 0:00,"232,949.56","232,949.56","232,949.56",558720,70.10
3/4/2019 0:00,"340,188.08","340,188.08","340,188.08",557616,70.20
3/5/2019 0:00,"348,046.02","348,046.02","348,046.02",557568,69.00
3/6/2019 0:00,"362,714.76","362,714.76","362,714.76",557568,71.30
3/7/2019 0:00,"376,113.02","376,113.02","376,113.02",557568,71.00
3/8/2019 0:00,"357,449.72","357,449.72","357,449.72",557568,71.50
3/9/2019 0:00,"265,901.65","265,901.65","265,901.65",557568,72.00
3/10/2019 0:00,"231,923.67","231,923.67","231,923.67",534336,71.80
3/11/2019 0:00,"341,882.72","341,882.72","341,882.72",557568,71.60
3/12/2019 0:00,"362,867.25","362,867.25","362,867.25",557568,69.80
3/13/2019 0:00,"369,753.37","369,753.37","369,753.37",557568,71.30
3/14/2019 0:00,"374,809.97","374,809.97","374,809.97",557568,71.30
3/15/2019 0:00,"363,533.75","363,533.75","363,533.75",556519,71.60
3/16/2019 0:00,"291,707.90","291,707.90","291,707.90",557568,71.50
3/17/2019 0:00,"253,347.31","253,347.31","253,347.31",557568,71.30
3/18/2019 0:00,"357,682.98","357,682.98","357,682.98",557568,71.10
3/19/2019 0:00,"370,109.86","370,109.86","370,109.86",557568,71.10
3/20/2019 0:00,"359,197.15","359,197.15","359,197.15",557309,71.40
3/21/2019 0:00,"365,846.25","365,846.25","365,846.25",557568,72.50
3/22/2019 0:00,"385,907.09","385,907.09","385,907.09",557568,71.20
3/23/2019 0:00,"279,405.30","279,405.30","279,405.30",557568,69.90
3/24/2019 0:00,"247,944.09","247,944.09","247,944.09",557568,71.50
3/25/2019 0:00,"332,856.62","332,856.62","332,856.62",557568,67.30
3/26/2019 0:00,"347,942.03","347,942.03","347,942.03",557568,68.70
3/27/2019 0:00,"344,163.64","344,163.64","344,163.64",557208,70.80
3/28/2019 0:00,"354,736.47","354,736.47","354,736.47",557568,69.50
3/29/2019 0:00,"357,795.65","357,795.65","357,795.65",557568,70.90
3/30/2019 0:00,"292,472.37","292,472.37","292,472.37",557568,70.70
3/31/2019 0:00,"258,258.89","258,258.89","258,258.89",557208,66.90
4/1/2019 0:00,"321,536.10","321,536.10","321,536.10",557568,69.60
4/2/2019 0:00,"327,950.06","327,950.06","327,950.06",557568,68.40
4/3/2019 0:00,"332,301.88","332,301.88","332,301.88",557568,64.20
4/4/2019 0:00,"344,919.56","344,919.56","344,919.56",556146,68.60
4/5/2019 0:00,"324,184.30","324,184.30","324,184.30",557434,71.20
4/6/2019 0:00,"271,937.34","271,937.34","271,937.34",557568,70.20
