Day,Min,Avg,Max,# Lane Points,% Observed
1/1/2019 0:00,"12,753,839.89","12,753,839.89","12,753,839.89",556416,68.80
1/2/2019 0:00,"17,959,497.23","17,959,497.23","17,959,497.23",556385,67.90
1/3/2019 0:00,"18,370,973.71","18,370,973.71","18,370,973.71",554639,67.90
1/4/2019 0:00,"18,986,376.50","18,986,376.50","18,986,376.50",554484,68.00
1/5/2019 0:00,"15,103,033.85","15,103,033.85","15,103,033.85",556416,66.10
1/6/2019 0:00,"12,683,971.86","12,683,971.86","12,683,971.86",556416,67.60
1/7/2019 0:00,"18,693,612.55","18,693,612.55","18,693,612.55",556416,67.10
1/8/2019 0:00,"18,599,917.70","18,599,917.70","18,599,917.70",556416,68.50
1/9/2019 0:00,"17,358,731.68","17,358,731.68","17,358,731.68",556416,68.50
1/10/2019 0:00,"18,498,500.25","18,498,500.25","18,498,500.25",554942,67.00
1/11/2019 0:00,"19,044,027.31","19,044,027.31","19,044,027.31",556416,67.10
1/12/2019 0:00,"16,927,997.57","16,927,997.57","16,927,997.57",556416,66.30
1/13/2019 0:00,"13,996,420.64","13,996,420.64","13,996,420.64",556416,66.00
1/14/2019 0:00,"17,927,411.75","17,927,411.75","17,927,411.75",556416,68.30
1/15/2019 0:00,"17,356,148.44","17,356,148.44","17,356,148.44",556416,66.90
1/16/2019 0:00,"17,451,146.26","17,451,146.26","17,451,146.26",556416,68.10
1/17/2019 0:00,"18,314,385.99","18,314,385.99","18,314,385.99",556416,69.00
1/18/2019 0:00,"19,783,620.07","19,783,620.07","19,783,620.07",556416,68.80
1/19/2019 0:00,"17,327,598.55","17,327,598.55","17,327,598.55",556416,69.50
1/20/2019 0:00,"13,241,381.46","13,241,381.46","13,241,381.46",556416,67.40
1/21/2019 0:00,"16,643,032.81","16,643,032.81","16,643,032.81",554484,68.80
1/22/2019 0:00,"18,714,694.37","18,714,694.37","18,714,694.37",555799,69.00
1/23/2019 0:00,"18,706,489.54","18,706,489.54","18,706,489.54",556416,69.40
1/24/2019 0:00,"18,587,091.55","18,587,091.55","18,587,091.55",556416,69.00
1/25/2019 0:00,"19,592,558.45","19,592,558.45","19,592,558.45",556416,69.70
1/26/2019 0:00,"16,900,904.37","16,900,904.37","16,900,904.37",558696,70.20
1/27/2019 0:00,"14,896,664.92","14,896,664.92","14,896,664.92",558720,69.40
1/28/2019 0:00,"18,328,035.54","18,328,035.54","18,328,035.54",558720,69.30
1/29/2019 0:00,"18,497,767.82","18,497,767.82","18,497,767.82",558720,65.80
