Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2019/03/01,06,CA,06001,Alameda County,346214,1325115,5381996,1493050,1338853,595885,723032,872806,269696,53260,20341,5707,9366,06-06001-20190301,8,3
County,2019/03/01,06,CA,06075,San Francisco County,252021,629528,2552936,843186,694477,336755,373107,193638,74410,20821,8211,2825,5506,06-06075-20190301,8,3
County,2019/03/01,06,CA,06081,San Mateo County,158411,608162,2511082,690662,641257,288485,372855,375364,101890,21252,10143,3128,6046,06-06081-20190301,8,3
County,2019/03/01,06,CA,06085,Santa Clara County,375815,1552037,6376043,1693761,1577018,721468,1086376,883682,288929,82181,22533,7310,12785,06-06085-20190301,8,3
County,2019/03/02,06,CA,06001,Alameda County,366287,1305042,5446647,1522059,1423817,629780,708104,822238,253908,53451,19186,5227,8877,06-06001-20190302,8,3
County,2019/03/02,06,CA,06075,San Francisco County,261333,620216,2695234,892785,770351,353878,379414,194085,68063,22081,7262,2719,4596,06-06075-20190302,8,3
County,2019/03/02,06,CA,06081,San Mateo County,167221,599352,2574192,718733,689217,304892,369141,349636,102697,23348,9450,2440,4638,06-06081-20190302,8,3
County,2019/03/02,06,CA,06085,Santa Clara County,399176,1528676,6504845,1790318,1700341,762953,1068554,795142,263480,84078,22861,6825,10293,06-06085-20190302,8,3
County,2019/03/03,06,CA,06001,Alameda County,377289,1294040,5089229,1372434,1367761,585657,662951,764533,251189,52896,19091,5142,7575,06-06001-20190303,9,3
County,2019/03/03,06,CA,06075,San Francisco County,264577,616972,2524611,828248,740204,310068,349838,187502,69027,24367,8085,2683,4589,06-06075-20190303,9,3
County,2019/03/03,06,CA,06081,San Mateo County,170720,595853,2377864,659207,643993,283233,326284,328648,94552,22713,11406,2369,5459,06-06081-20190303,9,3
County,2019/03/03,06,CA,06085,Santa Clara County,407131,1520721,6010310,1601657,1561879,735400,988581,735908,259812,85843,24071,6250,10909,06-06085-20190303,9,3
County,2019/03/04,06,CA,06001,Alameda County,362853,1308476,5355021,1542036,1294239,570606,708662,877118,278181,50970,18388,5081,9740,06-06001-20190304,9,3
County,2019/03/04,06,CA,06075,San Francisco County,261257,620292,2579097,893101,702737,321457,363147,183129,79356,21504,6212,2735,5719,06-06075-20190304,9,3
County,2019/03/04,06,CA,06081,San Mateo County,163698,602875,2554727,745916,630710,289817,374450,382930,94502,19475,8329,2455,6143,06-06081-20190304,9,3
County,2019/03/04,06,CA,06085,Santa Clara County,393347,1534505,6392946,1793734,1540619,728181,1064407,861160,286592,79105,20180,6117,12851,06-06085-20190304,9,3
County,2019/03/05,06,CA,06001,Alameda County,359344,1311985,5176151,1490796,1273639,574047,675544,829760,258536,46009,15490,4467,7863,06-06001-20190305,9,3
County,2019/03/05,06,CA,06075,San Francisco County,262178,619371,2538490,894800,691000,324110,348044,174343,74481,19285,4807,2687,4933,06-06075-20190305,9,3
County,2019/03/05,06,CA,06081,San Mateo County,163809,602764,2443354,725167,626592,271135,345985,351019,90667,17882,7226,2181,5500,06-06081-20190305,9,3
County,2019/03/05,06,CA,06085,Santa Clara County,391298,1536554,6205936,1773185,1522315,699626,1010777,830503,264883,71430,17355,5414,10448,06-06085-20190305,9,3
County,2019/03/06,06,CA,06085,Santa Clara County,386888,1540964,6266477,1766543,1571777,703481,1037420,822297,262222,70600,15885,5148,11104,06-06085-20190306,9,3
County,2019/03/06,06,CA,06081,San Mateo County,161192,605381,2483836,721922,647625,284327,353757,359226,85505,16496,6968,2291,5719,06-06081-20190306,9,3
County,2019/03/06,06,CA,06075,San Francisco County,261089,620460,2569043,903091,698008,333501,348218,179424,75349,18727,5109,2699,4917,06-06075-20190306,9,3
County,2019/03/06,06,CA,06001,Alameda County,355437,1315892,5257773,1495252,1329287,587673,681447,843451,251804,42832,13922,4702,7403,06-06001-20190306,9,3
County,2019/03/07,06,CA,06085,Santa Clara County,373424,1554428,6390626,1765476,1615636,712789,1084095,860107,249049,68746,16608,5906,12214,06-06085-20190307,9,3
County,2019/03/07,06,CA,06081,San Mateo County,158118,608455,2575943,755582,661257,298322,372442,367618,86409,17099,7983,2718,6513,06-06081-20190307,9,3
County,2019/03/07,06,CA,06075,San Francisco County,248990,632559,2768153,993043,737721,359269,375205,190074,81553,18524,5198,2521,5045,06-06075-20190307,9,3
County,2019/03/07,06,CA,06001,Alameda County,347089,1324240,5386571,1532133,1331831,607478,725488,865245,253736,43098,14366,4846,8350,06-06001-20190307,9,3
County,2019/03/08,06,CA,06001,Alameda County,356838,1314491,5833319,1608023,1455876,637108,791573,967365,285637,53768,18769,5581,9619,06-06001-20190308,9,3
County,2019/03/08,06,CA,06075,San Francisco County,255333,626216,2870700,971336,781859,375476,407156,210311,85326,21718,7282,4346,5890,06-06075-20190308,9,3
County,2019/03/08,06,CA,06081,San Mateo County,161532,605041,2777527,773176,709642,324178,408985,417363,103511,21070,10541,2753,6308,06-06081-20190308,9,3
County,2019/03/08,06,CA,06085,Santa Clara County,386512,1541340,6913997,1837865,1729216,802323,1166776,959707,296042,80241,21258,7074,13495,06-06085-20190308,9,3
