Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/01/01,06,CA,06001,Alameda County,"386,398","1,284,931","4,689,886","1,371,704","1,227,193","517,700","593,625","660,760","231,282","53,248","23,307","6,178","4,889",06-06001-20200101,0,1
County,2020/01/01,06,CA,06075,San Francisco County,"247,025","634,524","2,398,464","816,845","625,570","309,470","329,521","199,973","75,303","24,050","10,744","4,025","2,963",06-06075-20200101,0,1
County,2020/01/01,06,CA,06081,San Mateo County,"181,482","585,091","2,131,676","605,387","552,288","234,455","296,462","294,230","96,647","27,983","16,622","4,394","3,208",06-06081-20200101,0,1
County,2020/01/01,06,CA,06085,Santa Clara County,"436,311","1,491,541","5,837,212","1,733,425","1,521,029","681,214","841,171","658,622","275,080","88,675","27,478","7,055","3,463",06-06085-20200101,0,1
County,2020/01/02,06,CA,06001,Alameda County,"316,621","1,354,708","5,916,553","1,732,822","1,507,947","662,519","758,603","907,277","274,611","44,998","19,235","5,705","2,836",06-06001-20200102,0,1
County,2020/01/02,06,CA,06075,San Francisco County,"231,881","649,668","2,667,719","914,429","727,920","346,735","369,034","197,375","73,543","24,295","8,820","2,694","2,874",06-06075-20200102,0,1
County,2020/01/02,06,CA,06081,San Mateo County,"151,038","615,535","2,558,534","734,480","648,941","307,080","367,803","357,195","95,868","25,307","15,160","3,950","2,750",06-06081-20200102,0,1
County,2020/01/02,06,CA,06085,Santa Clara County,"358,300","1,569,552","7,107,728","2,086,895","1,803,309","826,778","1,098,724","900,938","293,081","72,731","17,852","5,438","1,982",06-06085-20200102,0,1
County,2020/01/03,06,CA,06075,San Francisco County,"231,025","650,524","2,832,916","989,829","756,871","363,796","383,152","225,261","78,637","21,591","8,011","3,147","2,621",06-06075-20200103,0,1
County,2020/01/03,06,CA,06001,Alameda County,"313,777","1,357,552","6,027,714","1,744,743","1,530,891","693,988","788,182","925,779","272,375","45,499","18,630","4,307","3,320",06-06001-20200103,0,1
County,2020/01/03,06,CA,06081,San Mateo County,"148,829","617,744","2,657,651","781,673","674,655","299,992","376,839","375,560","104,569","23,120","14,470","3,460","3,313",06-06081-20200103,0,1
County,2020/01/03,06,CA,06085,Santa Clara County,"351,340","1,576,512","7,398,576","2,157,190","1,901,666","862,954","1,167,453","905,254","303,235","75,338","17,679","5,650","2,157",06-06085-20200103,0,1
County,2020/01/04,06,CA,06085,Santa Clara County,"389,580","1,538,272","7,099,486","2,037,297","1,887,208","870,299","1,080,292","824,728","288,315","81,227","22,085","5,764","2,271",06-06085-20200104,0,1
County,2020/01/04,06,CA,06081,San Mateo County,"159,305","607,268","2,608,396","748,599","695,646","303,827","366,493","336,224","106,293","28,753","15,420","3,851","3,290",06-06081-20200104,0,1
County,2020/01/04,06,CA,06075,San Francisco County,"237,729","643,820","2,766,035","956,512","761,348","347,590","371,503","213,312","75,818","25,310","9,104","3,184","2,354",06-06075-20200104,0,1
County,2020/01/04,06,CA,06001,Alameda County,"347,303","1,324,026","5,741,696","1,680,155","1,548,493","690,149","720,974","786,154","234,322","51,910","21,594","4,659","3,286",06-06001-20200104,0,1
County,2020/01/05,06,CA,06001,Alameda County,"376,200","1,295,129","5,228,178","1,543,896","1,400,228","643,330","651,840","701,648","204,512","49,128","23,628","5,974","3,994",06-06001-20200105,1,1
County,2020/01/05,06,CA,06075,San Francisco County,"248,522","633,027","2,530,734","854,060","692,427","328,059","344,288","202,108","71,082","23,016","9,347","3,246","3,101",06-06075-20200105,1,1
County,2020/01/05,06,CA,06081,San Mateo County,"175,958","590,615","2,322,903","670,308","616,477","269,722","315,293","303,262","94,434","28,404","17,832","3,299","3,872",06-06081-20200105,1,1
County,2020/01/05,06,CA,06085,Santa Clara County,"418,944","1,508,908","6,497,565","1,907,778","1,795,319","772,925","963,695","701,481","244,561","80,406","22,402","6,382","2,616",06-06085-20200105,1,1
County,2020/01/06,06,CA,06001,Alameda County,"328,219","1,343,110","5,843,723","1,729,487","1,485,273","658,587","736,380","908,720","267,619","39,020","10,543","3,943","4,151",06-06001-20200106,1,1
County,2020/01/06,06,CA,06075,San Francisco County,"237,635","643,914","2,799,729","979,452","757,187","361,491","379,451","211,557","82,366","18,929","5,543","1,111","2,642",06-06075-20200106,1,1
County,2020/01/06,06,CA,06081,San Mateo County,"155,953","610,620","2,593,880","766,517","657,186","288,822","370,234","373,693","99,925","19,822","10,228","4,086","3,367",06-06081-20200106,1,1
County,2020/01/06,06,CA,06085,Santa Clara County,"367,728","1,560,124","7,035,628","2,048,725","1,776,170","821,542","1,092,971","937,356","282,228","60,836","10,215","3,405","2,180",06-06085-20200106,1,1
County,2020/01/07,06,CA,06085,Santa Clara County,"344,515","1,583,337","7,355,263","2,174,519","1,825,059","841,182","1,175,861","977,958","290,750","57,809","7,723","2,744","1,658",06-06085-20200107,1,1
County,2020/01/07,06,CA,06081,San Mateo County,"142,330","624,243","2,644,957","763,863","677,725","303,280","388,480","381,248","100,070","19,313","6,465","2,197","2,316",06-06081-20200107,1,1
County,2020/01/07,06,CA,06075,San Francisco County,"227,562","653,987","2,838,881","979,481","792,699","375,304","380,624","206,737","77,567","17,720","4,032","1,982","2,735",06-06075-20200107,1,1
County,2020/01/07,06,CA,06001,Alameda County,"310,191","1,361,138","5,977,167","1,767,272","1,518,427","670,236","770,609","934,008","262,201","38,841","9,434","3,068","3,071",06-06001-20200107,1,1
County,2020/01/08,06,CA,06001,Alameda County,"304,807","1,366,522","6,024,904","1,761,131","1,518,399","695,674","751,688","968,047","273,437","39,311","11,056","3,399","2,762",06-06001-20200108,1,1
County,2020/01/08,06,CA,06075,San Francisco County,"227,916","653,633","2,779,201","955,848","759,132","352,420","397,272","208,722","80,674","17,499","3,985","1,422","2,227",06-06075-20200108,1,1
County,2020/01/08,06,CA,06081,San Mateo County,"140,287","626,286","2,711,386","803,294","694,176","305,754","383,216","395,474","98,906","19,196","5,939","2,444","2,987",06-06081-20200108,1,1
County,2020/01/08,06,CA,06085,Santa Clara County,"340,758","1,587,094","7,268,160","2,149,567","1,807,791","841,947","1,143,604","951,840","295,114","64,688","8,558","3,206","1,845",06-06085-20200108,1,1
County,2020/01/09,06,CA,06001,Alameda County,"307,692","1,363,637","5,947,592","1,723,881","1,501,995","685,903","754,744","944,679","278,667","39,671","11,410","3,656","2,986",06-06001-20200109,1,1
County,2020/01/09,06,CA,06075,San Francisco County,"228,598","652,951","2,759,685","934,648","753,838","367,309","394,062","207,396","76,795","17,251","4,335","1,646","2,405",06-06075-20200109,1,1
County,2020/01/09,06,CA,06081,San Mateo County,"147,786","618,787","2,666,211","800,787","661,445","304,483","382,237","385,009","102,356","18,116","6,898","2,416","2,464",06-06081-20200109,1,1
County,2020/01/09,06,CA,06085,Santa Clara County,"342,449","1,585,403","7,226,283","2,071,823","1,807,836","849,166","1,180,176","955,352","291,561","56,831","8,651","3,101","1,786",06-06085-20200109,1,1
County,2020/01/10,06,CA,06001,Alameda County,"297,706","1,373,623","6,279,060","1,831,167","1,617,302","713,639","817,480","965,527","272,759","40,737","14,072","3,469","2,908",06-06001-20200110,1,1
County,2020/01/10,06,CA,06075,San Francisco County,"231,255","650,294","2,888,863","968,451","801,560","397,476","390,975","219,758","77,305","22,035","7,088","1,833","2,382",06-06075-20200110,1,1
County,2020/01/10,06,CA,06081,San Mateo County,"142,238","624,335","2,776,737","830,435","707,023","320,955","393,606","384,153","102,827","21,199","11,378","2,690","2,471",06-06081-20200110,1,1
