Day,Vehicle Hours Traveled,# Lane Points,% Observed
3/1/2020 0:00,"295,768.62",614880,55.00
3/2/2020 0:00,"387,542.45",614880,55.10
3/3/2020 0:00,"392,785.87",614880,54.90
3/4/2020 0:00,"396,874.73",614880,55.20
3/5/2020 0:00,"403,724.46",614880,54.80
3/6/2020 0:00,"403,826.68",614880,55.10
3/7/2020 0:00,"319,396.99",614880,55.00
3/8/2020 0:00,"275,720.63",589260,55.10
3/9/2020 0:00,"356,417.16",614880,55.20
3/10/2020 0:00,"353,854.70",614880,55.20
3/11/2020 0:00,"370,072.95",614880,55.30
3/12/2020 0:00,"370,444.75",614880,55.10
3/13/2020 0:00,"362,961.65",614880,55.20
3/14/2020 0:00,"264,826.62",614880,55.00
3/15/2020 0:00,"221,654.52",614880,55.00
3/16/2020 0:00,"314,656.47",614880,55.20
3/17/2020 0:00,"243,405.93",614880,55.10
3/18/2020 0:00,"245,124.58",614263,54.00
3/19/2020 0:00,"251,353.48",614880,53.50
3/20/2020 0:00,"271,655.69",614880,46.00
3/21/2020 0:00,"218,429.90",614880,37.30
3/22/2020 0:00,"184,949.97",614880,36.90
3/23/2020 0:00,"257,540.30",614880,36.10
3/24/2020 0:00,"222,507.56",614880,54.70
3/25/2020 0:00,"237,285.07",614880,52.20
3/26/2020 0:00,"234,581.00",614880,54.90
3/27/2020 0:00,"240,179.22",614880,54.80
3/28/2020 0:00,"171,700.92",614880,54.90
3/29/2020 0:00,"152,817.51",614880,53.10
3/30/2020 0:00,"232,384.09",614880,51.90
3/31/2020 0:00,"228,260.10",614880,54.40
4/1/2020 0:00,"234,870.14",614880,54.40
4/2/2020 0:00,"234,541.71",614880,54.20
4/3/2020 0:00,"241,351.34",614875,54.30
4/4/2020 0:00,"171,750.40",614880,54.40
4/5/2020 0:00,"145,060.48",614880,52.90
4/6/2020 0:00,"219,914.55",614880,50.90
4/7/2020 0:00,"224,872.51",614880,53.90
4/8/2020 0:00,"227,906.47",614880,53.80
4/9/2020 0:00,"230,768.90",614880,54.00
4/10/2020 0:00,"238,166.30",614880,54.50
4/11/2020 0:00,"182,253.00",614880,53.60
4/12/2020 0:00,"157,147.07",614880,52.80
4/13/2020 0:00,"230,715.96",614880,50.00
4/14/2020 0:00,"232,730.59",614825,51.50
4/15/2020 0:00,"237,978.49",614672,52.80
4/16/2020 0:00,"238,309.60",614648,52.70
4/17/2020 0:00,"250,344.77",614880,51.80
4/18/2020 0:00,"194,934.92",614880,52.60
4/19/2020 0:00,"169,065.91",614880,52.30
4/20/2020 0:00,"234,007.31",614880,51.40
4/21/2020 0:00,"236,514.38",614880,52.70
4/22/2020 0:00,"242,813.59",614632,52.90
4/23/2020 0:00,"239,711.98",614710,50.60
4/24/2020 0:00,"256,300.28",614880,51.30
4/25/2020 0:00,"206,686.13",614880,43.00
4/26/2020 0:00,"176,321.66",614880,52.80
4/27/2020 0:00,"241,027.84",614880,52.30
4/28/2020 0:00,"243,429.63",614880,53.20
4/29/2020 0:00,"249,178.15",614880,53.10
4/30/2020 0:00,"255,169.40",614672,50.40
5/1/2020 0:00,"264,128.83",614364,52.90
5/2/2020 0:00,"206,418.08",614880,52.90
5/3/2020 0:00,"184,019.87",614880,52.60
5/4/2020 0:00,"254,495.21",614880,49.60
5/5/2020 0:00,"256,213.89",614880,52.60
5/6/2020 0:00,"261,399.95",614880,52.20
5/7/2020 0:00,"267,313.43",614880,52.20
5/8/2020 0:00,"280,029.71",614880,52.60
5/9/2020 0:00,"227,809.73",614880,52.70
5/10/2020 0:00,"205,144.80",614880,52.30
5/11/2020 0:00,"257,799.48",614880,50.00
5/12/2020 0:00,"264,496.80",614880,51.50
5/13/2020 0:00,"277,481.55",614880,51.10
5/14/2020 0:00,"279,689.87",614880,50.20
5/15/2020 0:00,"293,298.12",614880,52.60
5/16/2020 0:00,"232,341.28",614880,53.10
5/17/2020 0:00,"193,317.34",614880,52.90
5/18/2020 0:00,"273,138.81",614880,52.60
5/19/2020 0:00,"280,285.04",614880,54.00
5/20/2020 0:00,"285,796.63",614880,53.70
5/21/2020 0:00,"300,109.84",614880,52.90
5/22/2020 0:00,"310,062.35",614880,53.60
5/23/2020 0:00,"239,082.14",614880,52.10
5/24/2020 0:00,"216,629.11",614880,53.20
5/25/2020 0:00,"227,335.28",614880,52.80
5/26/2020 0:00,"292,448.06",614880,52.50
5/27/2020 0:00,"296,871.25",614880,52.60
5/28/2020 0:00,"305,066.67",614880,52.80
5/29/2020 0:00,"319,121.08",614880,53.20
5/30/2020 0:00,"241,643.31",614880,53.60
5/31/2020 0:00,"216,286.88",614880,53.30
6/1/2020 0:00,"286,847.93",614880,53.30
6/2/2020 0:00,"285,880.48",614880,53.40
6/3/2020 0:00,"295,657.38",614880,52.60
6/4/2020 0:00,"303,750.30",614880,52.70
6/5/2020 0:00,"320,241.82",614880,52.80
6/6/2020 0:00,"255,512.65",614880,52.00
6/7/2020 0:00,"221,805.36",614880,53.10
6/8/2020 0:00,"300,470.80",614880,53.00
6/9/2020 0:00,"310,934.23",614880,25.90
6/10/2020 0:00,"321,808.24",614880,0.20
6/11/2020 0:00,"320,067.15",614880,18.70
6/12/2020 0:00,"336,120.00",614880,52.30
6/13/2020 0:00,"271,757.87",614880,52.60
6/14/2020 0:00,"237,660.38",614880,53.50
6/15/2020 0:00,"305,257.84",614880,52.50
6/16/2020 0:00,"316,013.16",614880,52.90
6/17/2020 0:00,"323,322.24",614880,53.10
6/18/2020 0:00,"334,148.68",614880,53.00
6/19/2020 0:00,"353,081.87",614880,53.10
6/20/2020 0:00,"286,791.58",614880,53.40
6/21/2020 0:00,"250,308.94",614880,53.70
6/22/2020 0:00,"312,453.69",614880,53.30
6/23/2020 0:00,"319,364.72",614818,53.80
6/24/2020 0:00,"328,839.32",614880,53.90
6/25/2020 0:00,"338,423.70",614880,52.50
6/26/2020 0:00,"351,158.27",613015,53.70
6/27/2020 0:00,"285,829.33",614880,53.90
6/28/2020 0:00,"243,523.83",614880,53.50
6/29/2020 0:00,"315,342.81",614880,53.30
6/30/2020 0:00,"328,430.44",614191,53.10
7/1/2020 0:00,"335,334.90",614880,53.30
