Day,Vehicle Hours Traveled,# Lane Points,% Observed
3/1/2020 0:00,"112,094.52",248256,64.60
3/2/2020 0:00,"164,622.53",248256,64.60
3/3/2020 0:00,"168,934.79",248256,64.70
3/4/2020 0:00,"165,636.43",248256,63.60
3/5/2020 0:00,"171,642.44",248256,62.40
3/6/2020 0:00,"157,662.82",248256,62.40
3/7/2020 0:00,"114,479.11",248256,63.50
3/8/2020 0:00,"98,079.37",237912,62.10
3/9/2020 0:00,"138,948.05",248256,61.00
3/10/2020 0:00,"131,779.62",248256,62.10
3/11/2020 0:00,"138,057.67",248256,62.40
3/12/2020 0:00,"134,407.12",248256,61.10
3/13/2020 0:00,"128,589.15",248256,60.90
3/14/2020 0:00,"91,561.35",248256,62.30
3/15/2020 0:00,"75,090.86",248256,62.30
3/16/2020 0:00,"110,529.86",248256,62.20
3/17/2020 0:00,"74,508.34",248256,63.10
3/18/2020 0:00,"74,705.32",248231,63.00
3/19/2020 0:00,"73,047.97",248256,65.00
3/20/2020 0:00,"83,625.90",248256,50.50
3/21/2020 0:00,"70,089.75",248256,37.60
3/22/2020 0:00,"59,765.59",248256,37.60
3/23/2020 0:00,"79,809.71",248256,37.40
3/24/2020 0:00,"61,025.97",248256,65.70
3/25/2020 0:00,"68,445.20",248256,62.00
3/26/2020 0:00,"64,225.98",248256,65.70
3/27/2020 0:00,"65,880.41",248256,65.50
3/28/2020 0:00,"47,461.43",248256,65.70
3/29/2020 0:00,"41,511.06",248256,65.70
3/30/2020 0:00,"65,141.63",248256,63.90
3/31/2020 0:00,"63,472.41",248256,65.10
4/1/2020 0:00,"63,360.20",248256,65.40
4/2/2020 0:00,"63,277.21",248256,65.70
4/3/2020 0:00,"64,762.10",248256,67.00
4/4/2020 0:00,"45,096.60",248256,68.00
4/5/2020 0:00,"36,606.73",248256,67.90
4/6/2020 0:00,"58,633.18",248256,64.50
4/7/2020 0:00,"59,149.20",248256,68.60
4/8/2020 0:00,"60,090.70",248256,67.10
4/9/2020 0:00,"60,572.77",248256,67.40
