Day,Min,Avg,Max,# Lane Points,% Observed
3/1/2020 0:00,"243,209.17","243,209.17","243,209.17",548928,69.00
3/2/2020 0:00,"352,713.71","352,713.71","352,713.71",548928,68.70
3/3/2020 0:00,"378,701.90","378,701.90","378,701.90",548928,69.00
3/4/2020 0:00,"363,708.05","363,708.05","363,708.05",548928,69.10
3/5/2020 0:00,"365,676.38","365,676.38","365,676.38",548928,68.80
3/6/2020 0:00,"349,117.80","349,117.80","349,117.80",548928,68.60
3/7/2020 0:00,"254,698.98","254,698.98","254,698.98",548928,68.60
3/8/2020 0:00,"223,189.64","223,189.64","223,189.64",526056,68.50
3/9/2020 0:00,"301,947.47","301,947.47","301,947.47",548928,68.80
3/10/2020 0:00,"296,661.02","296,661.02","296,661.02",548928,68.70
3/11/2020 0:00,"305,885.10","305,885.10","305,885.10",548928,68.80
3/12/2020 0:00,"303,781.58","303,781.58","303,781.58",548928,68.30
3/13/2020 0:00,"291,683.13","291,683.13","291,683.13",548928,68.40
3/14/2020 0:00,"201,832.19","201,832.19","201,832.19",548928,68.80
3/15/2020 0:00,"163,904.35","163,904.35","163,904.35",548928,68.50
3/16/2020 0:00,"245,870.30","245,870.30","245,870.30",548928,68.20
3/17/2020 0:00,"167,071.32","167,071.32","167,071.32",548928,68.70
3/18/2020 0:00,"164,777.48","164,777.48","164,777.48",548760,67.00
3/19/2020 0:00,"168,010.44","168,010.44","168,010.44",548928,66.90
3/20/2020 0:00,"179,813.66","179,813.66","179,813.66",548928,63.00
3/21/2020 0:00,"135,908.92","135,908.92","135,908.92",548928,59.30
3/22/2020 0:00,"113,575.84","113,575.84","113,575.84",548928,59.00
3/23/2020 0:00,"165,739.90","165,739.90","165,739.90",548928,56.70
3/24/2020 0:00,"144,439.77","144,439.77","144,439.77",548928,67.20
3/25/2020 0:00,"159,275.38","159,275.38","159,275.38",548928,63.20
3/26/2020 0:00,"153,437.73","153,437.73","153,437.73",548928,66.40
3/27/2020 0:00,"159,978.78","159,978.78","159,978.78",548928,66.20
3/28/2020 0:00,"112,519.44","112,519.44","112,519.44",548928,66.90
3/29/2020 0:00,"98,772.84","98,772.84","98,772.84",548928,65.70
3/30/2020 0:00,"154,335.40","154,335.40","154,335.40",548928,63.80
3/31/2020 0:00,"151,284.29","151,284.29","151,284.29",548928,66.90
4/1/2020 0:00,"155,300.04","155,300.04","155,300.04",548928,67.30
4/2/2020 0:00,"151,898.57","151,898.57","151,898.57",548928,67.30
4/3/2020 0:00,"160,671.17","160,671.17","160,671.17",548928,66.70
4/4/2020 0:00,"112,230.80","112,230.80","112,230.80",548928,67.30
4/5/2020 0:00,"88,481.81","88,481.81","88,481.81",548928,65.80
4/6/2020 0:00,"143,531.09","143,531.09","143,531.09",548928,60.00
4/7/2020 0:00,"142,588.91","142,588.91","142,588.91",548928,66.60
4/8/2020 0:00,"148,985.47","148,985.47","148,985.47",548928,65.10
4/9/2020 0:00,"146,482.49","146,482.49","146,482.49",548928,66.10
4/10/2020 0:00,"154,293.91","154,293.91","154,293.91",548928,65.90
4/11/2020 0:00,"120,988.18","120,988.18","120,988.18",548928,65.80
4/12/2020 0:00,"98,667.78","98,667.78","98,667.78",548928,65.10
4/13/2020 0:00,"151,957.26","151,957.26","151,957.26",548928,61.80
4/14/2020 0:00,"151,271.94","151,271.94","151,271.94",548910,64.00
4/15/2020 0:00,"155,423.09","155,423.09","155,423.09",548845,65.30
4/16/2020 0:00,"155,066.87","155,066.87","155,066.87",548845,65.60
4/17/2020 0:00,"164,351.24","164,351.24","164,351.24",548928,63.50
4/18/2020 0:00,"128,335.66","128,335.66","128,335.66",548928,66.10
4/19/2020 0:00,"114,119.53","114,119.53","114,119.53",548928,65.70
4/20/2020 0:00,"157,091.59","157,091.59","157,091.59",548928,64.00
4/21/2020 0:00,"155,927.56","155,927.56","155,927.56",548928,65.50
4/22/2020 0:00,"160,781.67","160,781.67","160,781.67",548928,65.20
4/23/2020 0:00,"160,004.42","160,004.42","160,004.42",548714,62.20
4/24/2020 0:00,"173,916.96","173,916.96","173,916.96",548928,63.40
4/25/2020 0:00,"143,318.51","143,318.51","143,318.51",548928,53.20
4/26/2020 0:00,"120,837.55","120,837.55","120,837.55",548928,65.60
4/27/2020 0:00,"165,902.15","165,902.15","165,902.15",548928,64.00
4/28/2020 0:00,"164,677.86","164,677.86","164,677.86",548928,65.10
4/29/2020 0:00,"167,935.45","167,935.45","167,935.45",548928,65.00
4/30/2020 0:00,"174,552.91","174,552.91","174,552.91",548845,62.20
5/1/2020 0:00,"183,639.90","183,639.90","183,639.90",548727,65.40
5/2/2020 0:00,"147,831.61","147,831.61","147,831.61",548928,65.50
5/3/2020 0:00,"129,776.95","129,776.95","129,776.95",548928,65.20
5/4/2020 0:00,"179,950.30","179,950.30","179,950.30",548928,61.20
5/5/2020 0:00,"183,028.94","183,028.94","183,028.94",548928,64.40
5/6/2020 0:00,"187,626.60","187,626.60","187,626.60",548928,64.30
5/7/2020 0:00,"193,884.55","193,884.55","193,884.55",548928,64.80
5/8/2020 0:00,"203,149.81","203,149.81","203,149.81",548928,65.60
5/9/2020 0:00,"164,223.04","164,223.04","164,223.04",548928,65.40
5/10/2020 0:00,"148,268.76","148,268.76","148,268.76",548928,65.60
5/11/2020 0:00,"185,201.33","185,201.33","185,201.33",548928,63.00
5/12/2020 0:00,"187,172.41","187,172.41","187,172.41",548928,64.80
5/13/2020 0:00,"190,711.67","190,711.67","190,711.67",548928,64.40
5/14/2020 0:00,"200,815.77","200,815.77","200,815.77",548928,62.70
5/15/2020 0:00,"211,086.72","211,086.72","211,086.72",548928,64.70
5/16/2020 0:00,"168,809.19","168,809.19","168,809.19",548928,65.60
5/17/2020 0:00,"135,023.37","135,023.37","135,023.37",548928,65.40
5/18/2020 0:00,"194,075.75","194,075.75","194,075.75",548928,64.50
5/19/2020 0:00,"200,666.59","200,666.59","200,666.59",548928,65.10
5/20/2020 0:00,"206,362.21","206,362.21","206,362.21",548928,65.70
5/21/2020 0:00,"212,677.59","212,677.59","212,677.59",548928,66.00
5/22/2020 0:00,"227,160.20","227,160.20","227,160.20",548928,65.30
5/23/2020 0:00,"173,736.64","173,736.64","173,736.64",548928,63.90
5/24/2020 0:00,"161,997.14","161,997.14","161,997.14",548928,64.80
5/25/2020 0:00,"163,783.66","163,783.66","163,783.66",548928,64.30
5/26/2020 0:00,"211,363.49","211,363.49","211,363.49",548928,64.10
5/27/2020 0:00,"214,224.10","214,224.10","214,224.10",548928,65.40
5/28/2020 0:00,"219,577.74","219,577.74","219,577.74",548928,65.00
5/29/2020 0:00,"228,047.57","228,047.57","228,047.57",548928,65.70
5/30/2020 0:00,"175,030.94","175,030.94","175,030.94",548928,65.10
5/31/2020 0:00,"155,990.60","155,990.60","155,990.60",548928,65.50
6/1/2020 0:00,"209,593.97","209,593.97","209,593.97",548928,64.70
6/2/2020 0:00,"209,299.21","209,299.21","209,299.21",548928,65.10
6/3/2020 0:00,"216,057.04","216,057.04","216,057.04",548928,64.10
6/4/2020 0:00,"222,224.40","222,224.40","222,224.40",548928,64.30
6/5/2020 0:00,"235,449.30","235,449.30","235,449.30",548928,64.40
6/6/2020 0:00,"197,037.27","197,037.27","197,037.27",548928,62.00
6/7/2020 0:00,"169,418.45","169,418.45","169,418.45",548928,64.20
6/8/2020 0:00,"225,965.63","225,965.63","225,965.63",548928,63.70
6/9/2020 0:00,"224,239.15","224,239.15","224,239.15",548928,31.70
6/10/2020 0:00,"227,220.86","227,220.86","227,220.86",548928,0.00
6/11/2020 0:00,"231,966.28","231,966.28","231,966.28",548928,22.90
6/12/2020 0:00,"251,031.58","251,031.58","251,031.58",548928,64.40
6/13/2020 0:00,"209,200.00","209,200.00","209,200.00",548928,63.10
6/14/2020 0:00,"185,712.44","185,712.44","185,712.44",548928,63.90
6/15/2020 0:00,"235,092.93","235,092.93","235,092.93",548928,63.20
6/16/2020 0:00,"237,999.55","237,999.55","237,999.55",548928,63.60
6/17/2020 0:00,"242,762.53","242,762.53","242,762.53",548928,63.80
6/18/2020 0:00,"246,385.87","246,385.87","246,385.87",548928,63.20
6/19/2020 0:00,"267,151.71","267,151.71","267,151.71",548928,63.00
6/20/2020 0:00,"224,126.12","224,126.12","224,126.12",548928,62.80
6/21/2020 0:00,"195,155.92","195,155.92","195,155.92",548928,63.00
6/22/2020 0:00,"235,106.52","235,106.52","235,106.52",548928,62.70
6/23/2020 0:00,"239,010.88","239,010.88","239,010.88",548910,62.60
6/24/2020 0:00,"245,820.01","245,820.01","245,820.01",548928,61.90
6/25/2020 0:00,"252,812.12","252,812.12","252,812.12",548928,60.40
6/26/2020 0:00,"266,717.95","266,717.95","266,717.95",548136,61.70
6/27/2020 0:00,"225,927.90","225,927.90","225,927.90",548928,61.90
6/28/2020 0:00,"192,872.10","192,872.10","192,872.10",548928,61.80
6/29/2020 0:00,"242,791.50","242,791.50","242,791.50",548928,61.50
6/30/2020 0:00,"247,639.44","247,639.44","247,639.44",548644,61.20
7/1/2020 0:00,"255,024.87","255,024.87","255,024.87",548928,63.40
7/2/2020 0:00,"269,399.10","269,399.10","269,399.10",548928,63.40
7/3/2020 0:00,"231,114.62","231,114.62","231,114.62",548928,64.70
7/4/2020 0:00,"171,911.88","171,911.88","171,911.88",548928,64.40
7/5/2020 0:00,"183,872.93","183,872.93","183,872.93",548928,63.00
7/6/2020 0:00,"234,754.12","234,754.12","234,754.12",548928,62.50
7/7/2020 0:00,"242,767.36","242,767.36","242,767.36",548928,63.10
7/8/2020 0:00,"245,066.57","245,066.57","245,066.57",548892,62.80
7/9/2020 0:00,"261,967.78","261,967.78","261,967.78",548910,29.50
7/10/2020 0:00,"264,108.72","264,108.72","264,108.72",548928,49.20
7/11/2020 0:00,"221,016.24","221,016.24","221,016.24",548928,62.20
7/12/2020 0:00,"190,094.46","190,094.46","190,094.46",548928,62.20
7/13/2020 0:00,"244,275.39","244,275.39","244,275.39",548928,61.90
7/14/2020 0:00,"246,068.42","246,068.42","246,068.42",548928,62.20
7/15/2020 0:00,"245,783.38","245,783.38","245,783.38",548928,62.00
7/16/2020 0:00,"250,605.73","250,605.73","250,605.73",548928,61.50
7/17/2020 0:00,"264,771.25","264,771.25","264,771.25",548928,61.50
