Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020/03/01,06,CA,06085,Santa Clara County,392205,1535647,7119709,2225092,1936685,821752,1016117,751125,256292,80167,23147,6164,3168,06-06085-20200301,9,3
County,2020/03/01,06,CA,06081,San Mateo County,167106,599467,2515059,729937,678027,285645,338234,332183,101987,27373,14107,3797,3769,06-06081-20200301,9,3
County,2020/03/01,06,CA,06075,San Francisco County,237818,643731,2793966,966116,775024,350020,372717,212901,75055,25379,9868,2289,4597,06-06075-20200301,9,3
County,2020/03/01,06,CA,06001,Alameda County,348663,1322666,5706799,1718666,1552062,665509,703701,759491,223568,54240,19822,5280,4460,06-06001-20200301,9,3
County,2020/03/02,06,CA,06001,Alameda County,318507,1352822,5766593,1753715,1454067,645292,727334,870049,251928,39537,14071,4657,5943,06-06001-20200302,9,3
County,2020/03/02,06,CA,06075,San Francisco County,227246,654303,2797669,1015152,753063,348403,359645,212340,77701,19264,5957,2556,3588,06-06075-20200302,9,3
County,2020/03/02,06,CA,06081,San Mateo County,151246,615327,2564155,764682,663099,286826,352547,367831,96005,17382,8196,2817,4770,06-06081-20200302,9,3
County,2020/03/02,06,CA,06085,Santa Clara County,359606,1568246,6954386,2206649,1715549,782653,1056396,853502,254378,62565,12579,6360,3755,06-06085-20200302,9,3
County,2020/03/03,06,CA,06001,Alameda County,297745,1373584,5822509,1836683,1393102,607331,712541,901624,280312,61527,19473,5053,4863,06-06001-20200303,9,3
County,2020/03/03,06,CA,06075,San Francisco County,206197,675352,2646599,944425,727920,333327,339962,192071,78029,19249,5975,2558,3083,06-06075-20200303,9,3
County,2020/03/03,06,CA,06081,San Mateo County,141490,625083,2605313,817947,656007,273411,350469,370647,103579,19681,7721,2958,2893,06-06081-20200303,9,3
County,2020/03/03,06,CA,06085,Santa Clara County,349483,1578369,6599621,2082473,1555112,717356,981032,855705,293172,80420,25998,5091,3262,06-06085-20200303,9,3
County,2020/03/04,06,CA,06001,Alameda County,308771,1362558,5730503,1777433,1331140,605276,721784,910996,295404,58226,19309,5493,5442,06-06001-20200304,9,3
County,2020/03/04,06,CA,06075,San Francisco County,211551,669998,2628983,918517,709719,331329,361379,187677,85855,21996,7137,3210,2164,06-06075-20200304,9,3
County,2020/03/04,06,CA,06081,San Mateo County,146624,619949,2646558,801574,665130,287175,362441,387584,110121,18978,8367,2924,2264,06-06081-20200304,9,3
County,2020/03/04,06,CA,06085,Santa Clara County,363508,1564344,6606010,2105501,1506242,719708,995235,863296,298806,85361,22374,6284,3203,06-06085-20200304,9,3
County,2020/03/05,06,CA,06001,Alameda County,287199,1384130,5659776,1702466,1357788,584674,720579,913533,296882,54171,19407,5567,4709,06-06001-20200305,9,3
County,2020/03/05,06,CA,06075,San Francisco County,199816,681733,2581054,905339,695468,318503,335140,200207,88552,24012,7795,2838,3200,06-06075-20200305,9,3
County,2020/03/05,06,CA,06085,Santa Clara County,334771,1593081,6528621,1990703,1524152,707349,982757,906316,300698,88846,19029,5702,3069,06-06085-20200305,9,3
County,2020/03/05,06,CA,06081,San Mateo County,138110,628463,2615452,797741,646850,285322,351144,385668,112103,22713,8167,3256,2488,06-06081-20200305,9,3
County,2020/03/06,06,CA,06001,Alameda County,295553,1375776,5964488,1818070,1438591,641226,755189,919630,299080,58472,23246,5741,5243,06-06001-20200306,9,3
County,2020/03/06,06,CA,06075,San Francisco County,199428,682121,2631620,895090,714215,322778,363327,209967,84782,26542,9823,2270,2826,06-06075-20200306,9,3
County,2020/03/06,06,CA,06081,San Mateo County,141088,625485,2725236,806720,710220,288895,382382,384183,111392,22293,12192,3825,3134,06-06081-20200306,9,3
County,2020/03/06,06,CA,06085,Santa Clara County,348859,1578993,6890526,2133184,1627090,764033,1046741,885256,321107,85596,18776,6085,2658,06-06085-20200306,9,3
County,2020/03/07,06,CA,06001,Alameda County,329137,1342192,5691017,1711564,1441119,634383,721276,828579,252866,66153,23835,5635,5607,06-06001-20200307,9,3
County,2020/03/07,06,CA,06075,San Francisco County,212292,669257,2670701,885743,742038,330248,359788,224120,81296,30423,9313,3190,4542,06-06075-20200307,9,3
County,2020/03/07,06,CA,06081,San Mateo County,155478,611095,2601090,777420,699006,278117,351726,331581,115571,26502,14132,4102,2933,06-06081-20200307,9,3
County,2020/03/07,06,CA,06085,Santa Clara County,385819,1542033,6663431,2052830,1632052,750360,994147,783443,308128,105282,26849,7273,3067,06-06085-20200307,9,3
County,2020/03/08,06,CA,06001,Alameda County,367960,1303369,5130473,1570896,1317763,581666,615973,708009,236314,62532,23976,7837,5507,06-06001-20200308,10,3
County,2020/03/08,06,CA,06075,San Francisco County,236348,645201,2496734,878872,685568,295557,316679,198029,77617,27435,10961,3071,2945,06-06075-20200308,10,3
County,2020/03/08,06,CA,06081,San Mateo County,175643,590930,2300494,652802,632116,249587,297525,322524,94990,25990,16497,4627,3836,06-06081-20200308,10,3
County,2020/03/08,06,CA,06085,Santa Clara County,436212,1491640,5940335,1843411,1503563,672012,838834,693056,259791,94345,24639,7741,2943,06-06085-20200308,10,3
County,2020/03/09,06,CA,06001,Alameda County,324292,1347037,5602316,1734385,1340911,588799,700732,881257,273617,53974,18442,5218,4981,06-06001-20200309,10,3
County,2020/03/09,06,CA,06075,San Francisco County,221069,660480,2550158,885340,678046,309725,361803,201227,78521,22621,6840,2367,3668,06-06075-20200309,10,3
County,2020/03/09,06,CA,06081,San Mateo County,154093,612480,2568193,792442,638090,285684,358356,359880,98761,21585,9004,2430,1961,06-06081-20200309,10,3
County,2020/03/09,06,CA,06085,Santa Clara County,376980,1550872,6467242,2034753,1506536,710290,963409,855589,286470,81528,19555,6586,2526,06-06085-20200309,10,3
County,2020/03/10,06,CA,06085,Santa Clara County,381440,1546412,6349131,1977234,1456136,706971,946106,847166,301056,87418,19716,4617,2711,06-06085-20200310,10,3
County,2020/03/10,06,CA,06081,San Mateo County,153209,613364,2521622,765609,652495,274053,339026,356637,101267,20725,7432,2463,1915,06-06081-20200310,10,3
County,2020/03/10,06,CA,06075,San Francisco County,223536,658013,2449363,829092,652891,309569,340579,196538,86651,21953,6678,2207,3205,06-06075-20200310,10,3
