Week number,Date from,Date to
1,30 Mar 2020,05 Apr 2020
2,06 Apr 2020,12 Apr 2020
3,13 Apr 2020,19 Apr 2020
4,20 Apr 2020,26 Apr 2020
5,27 Apr 2020,03 May 2020
6,04 May 2020,10 May 2020
7,11 May 2020,17 May 2020
8,18 May 2020,24 May 2020
9,25 May 2020,31 May 2020
10,01 Jun 2020,07 Jun 2020
11,08 Jun 2020,14 Jun 2020
12,15 Jun 2020,21 Jun 2020
13,22 Jun 2020,28 Jun 2020
14,29 Jun 2020,05 Jul 2020
15,06 Jul 2020,12 Jul 2020
16,13 Jul 2020,19 Jul 2020
17,20 Jul 2020,26 Jul 2020
18,27 Jul 2020,02 Aug 2020
19,03 Aug 2020,09 Aug 2020
20,10 Aug 2020,16 Aug 2020
21,17 Aug 2020,23 Aug 2020
22,24 Aug 2020,30 Aug 2020
23,31 Aug 2020,06 Sep 2020
24,07 Sep 2020,13 Sep 2020
25,14 Sep 2020,20 Sep 2020
26,21 Sep 2020,27 Sep 2020
27,28 Sep 2020,04 Oct 2020
28,05 Oct 2020,11 Oct 2020
29,12 Oct 2020,18 Oct 2020
30,19 Oct 2020,25 Oct 2020
31,26 Oct 2020,01 Nov 2020
32,02 Nov 2020,08 Nov 2020
33,09 Nov 2020,15 Nov 2020
34,16 Nov 2020,22 Nov 2020
35,23 Nov 2020,29 Nov 2020
36,30 Nov 2020,06 Dec 2020
37,07 Dec 2020,13 Dec 2020
38,14 Dec 2020,20 Dec 2020
39,21 Dec 2020,27 Dec 2020
40,28 Dec 2020,31 Dec 2020
